Engine,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Fuel Type,Engine Type,Emission Norm Compliance,Kerb Weight,Drive Type,Transmission,Power
1999 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Petrol Engine,Euro VI,1780 kg,RWD,Automatic,237.4 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0 TSI Petrol Engine,BS VI,1245-1280 kg,FWD,Automatic,113.98 bhp
1462 cc,4.0,4.0,DOHC,,Petrol,K15C,BS VI 2.0,,FWD,Manual,101.64 bhp
1956 cc,4.0,4.0,DOHC,CRDI,Diesel,2.0-Litre 4-Cyl Multijet,BS IV,1562 s kg,4X2,Manual,170 bhp
1498 cc,4.0,4.0,,,Petrol,VTi-TECH,BS VI,1400 kg,,Automatic,108.49 bhp
1451 cc,4.0,4.0,,,Petrol,1.5 L Turbocharged Intercooled,BS VI,1820 kg,FWD,Automatic,141 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI 2.0,,,Manual,118.35 bhp
998 cc,3.0,4.0,,GDi,Petrol,Smartstream G1.0 T - GDi,BS VI 2.0,,2WD,Automatic,118.35 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,Diesel Engine,Euro VI,1780 kg,RWD,Automatic,187.7 bhp
999 cc,3.0,4.0,,,Petrol,1.0 TSI Petrol Engine,BS VI 2.0,1245-1284 kg,FWD,Automatic,113.98 bhp
999 cc,3.0,4.0,,,Petrol,1.0L TSI,BS VI,1245 kg,,Automatic,113.98 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,1250 kg,,Automatic,118.36 bhp
2755 cc,4.0,4.0,DOHC,Direct Injection,Diesel,1-GD FTV Engine,BS IV,1835 kg,RWD,Automatic,171.5 bhp
1199 cc,3.0,4.0,,,Petrol,1.2L Turbocharged Revotron,BS VI 2.0,,FWD,Automatic,118.27 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI,1660 kg,,Manual,167.67 bhp
1998 cc,4.0,4.0,,MPFi,Petrol,Petrol Engine,BS VI,1250 kg,2WD,Automatic,189.08 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI 2.0,,2WD,Automatic,114.41 bhp
1497 cc,4.0,4.0,,CRDi,Diesel,1.5L CRDi VGT,BS VI,1595 kg,2WD,Manual,114.41 bhp
1798 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Petrol Engine,BS IV,1540 kg,FWD,Automatic,177.46 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1655 kg,FWD,Manual,140 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI,1540 kg,FWD,Automatic,113.43 bhp
1368 cc,4.0,4.0,,,Petrol,1.4L MultiAir Petrol,BS VI,1580 kg,4x2,Automatic,160.77 bhp
1368 cc,4.0,4.0,DOHC,CRDI,Petrol,1.4-Litre 4-Cyl Multiair,BS IV,1562 s kg,4X2,Automatic,160.77 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 T-CRDi VGT,BS VI 2.0,,2WD,Automatic,114.41 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 T-GRDi VGT,BS VI 2.0,,2WD,Automatic,114.41 bhp
1462 cc,4.0,4.0,,,Petrol,K15C Smart Hybrid,BS VI 2.0,1200 kg,FWD,Manual,101.64 bhp
1368 cc,4.0,4.0,,,Petrol,1.4L MultiAir Petrol,BS VI,1530 kg,4x2,Automatic,160.77 bhp
1956 cc,4.0,4.0,DOHC,CRDI,Diesel,2.0-Litre 4-Cyl Multijet II Engine,BS VI,1641 s kg,4X4,Automatic,170.63 bhp
1353 cc,4.0,4.0,,GDi,Petrol,Smartstream G1.4 T-GDi,BS VI,1560 kg,2WD,Manual,138.05 bhp
1997 cc,4.0,4.0,,,Petrol,mStallion (TGDi),BS VI 2.0,,RWD,Manual,200 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI,1480 kg,FWD,Automatic,113.43 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI,1700 kg,,Automatic,167.67 bhp
1956 cc,4.0,4.0,,,Diesel,2.0L Multijet Diesel,BS VI,1505 kg,4x2,Manual,167.67 bhp
1956 cc,4.0,4.0,DOHC,CRDI,Diesel,2.0-Litre 4-Cyl Multijet,BS VI,1562 s kg,4X2,Manual,170.63 bhp
1969 cc,4.0,4.0,,,Petrol,,BS VI,1590 kg,,Automatic,190 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5 L CRDi VGT,BS VI,1468 kg,FWD,Automatic,113.43 bhp
1999 cc,4.0,4.0,DOHC,MPi,Petrol,,BS VI,1560 kg,,Automatic,150.19 bhp
1498 cc,4.0,4.0,,,Petrol,1.5L TSI EVO with ACT,BS VI 2.0,1260 kg,FWD,Manual,147.51 bhp
1956 cc,4.0,4.0,,,Diesel,Multijet II Turbo Diesel Engine,BS VI,1585 kg,,Automatic,
1956 cc,4.0,4.0,,,Diesel,2.0 L Turbocharged Diesel,BS VI,1860 kg,FWD,Manual,167.68 bhp
2198 cc,4.0,4.0,DOHC,TDCi,Diesel,Diesel Engine,BS IV,1879 kg,RWD,Automatic,158 bhp
1984 cc,4.0,4.0,,,Petrol,2.0 TSI,BS VI,1703 kg,AWD,Automatic,187.74 bhp
