Engine,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Fuel Type,Engine Type,Emission Norm Compliance,Kerb Weight,Drive Type,Transmission,Power
1196 cc,4.0,4.0,DOHC,SEFI,Petrol,Petrol Engine,BS IV,1090 kg,Front Wheel Drive,Manual,70 bhp
1172 cc,4.0,2.0,SOHC,MPFi,Petrol,FIRE Engine,,1090 kg,FWD,Manual,67 bhp
2198 cc,4.0,4.0,DOHC,TDCi,Diesel,TDCI Diesel Engine,BS IV,2238 kg,RWD,Automatic,158.2 bhp
2996 cc,6.0,4.0,,,Petrol,V6 bi-turbo engine,BS VI,1725 kg,,Automatic,
1984 cc,4.0,4.0,,,Petrol,2.0 L Turbocharged Petrol Engine,BS VI,1793 kg,4WD,Automatic,187.74 bhp
3198 cc,4.0,4.0,DOHC,TDCi,Diesel,TDCI Diesel Engine,BS IV,2394 kg,4WD,Automatic,197 bhp
,4.0,4.0,,,Petrol,,,1120 kg,,Manual,
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,1085 kg,FWD,Automatic,117.3 bhp
1197 cc,4.0,4.0,DOHC,MPFI,CNG,Kappa VTVT Petrol Engine,BS IV,935 kg,FWD,Automatic,82 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,In Line Petrol Engine,BS IV,1121 kg,FWD,Manual,103.6 bhp
1197 cc,4.0,4.0,DOHC,EFI,Petrol,Petrol Engine,BS IV,915 kg,FWD,Manual,78.9 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS 200 Engine,,1065 kg,,Manual,88.5 bhp
1498 cc,4.0,4.0,SOHC,Common Rail,Diesel,TDCi Diesel Engine,BS IV,1020 kg,FWD,Manual,99.23 bhp
1798 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Petrol Engine,BS IV,1376 kg,FWD,Automatic,177.5 bhp
1497 cc,4.0,4.0,SOHC,,Petrol,i-VTEC Petrol Engine,BS IV,1235 kg,FWD,Manual,117.3 bhp
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,1065 kg,FWD,Manual,117.3 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 Kappa petrol,BS VI,1140 kg,,Automatic,81.86 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BSIV,1180 kg,FWD,Manual,81.86 bhp
1199 cc,4.0,4.0,,,Petrol,1.2L i-VTEC,BS VI 2.0,952-986 kg,FWD,Manual,89 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,K Series Petrol Engine,BS IV,1015 kg,FWD,Manual,85.80 bhp
1498 cc,4.0,4.0,DOHC,CRDi,Diesel,i-DTEC Diesel Engine,BS IV,1021 kg,FWD,Manual,98.63 bhp
1197 cc,4.0,4.0,,,Petrol,,BS VI,880-915 kg,,Manual,88.50 bhp
1968 cc,4.0,4.0,,CRDi,Diesel,Turbocharged Diesel Engin,BS IV,1445 kg,FWD,Manual,138.1 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDiS Diesel Engine,,955-990 kg,FWD,Automatic,74.02 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BS IV,1180 kg,FWD,Automatic,82 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS Diesel Engine,BS IV,1135 kg,FWD,Manual,88.5 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI 2.0,820 kg,FWD,Automatic,67.77 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BS IV,1100 kg,FWD,Manual,82 bhp
1047 cc,3.0,4.0,DOHC,CRDi,Diesel,Revotorq Engine,BS IV,1060 kg,FWD,Manual,69 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,1145 kg,FWD,Manual,103.5 bhp
1197 cc,4.0,4.0,,Dual Jet VVT,Petrol,Advanced K Series,BS VI 2.0,875-905 kg,FWD,Automatic,88.50 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI 2.0,810 kg,FWD,Manual,67.77 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,In-Line Engine,Bharat Stage IV,1100 kg,,Manual,
1497 cc,4.0,4.0,SOHC,EFI (Electronic Fuel Injection),Petrol,In-Line Engine,,1100 kg,FWD,Manual,
2523 cc,4.0,2.0,SOHC,CRDi,Diesel,M2DiCR Diesel Engine,BS IV,1430 kg,RWD,Manual,62.1 bhp
1493 cc,3.0,2.0,,CRDi,Diesel,mHawk 100 Diesel Engine,,1735 kg,RWD,Manual,100 bhp
1490 cc,3.0,4.0,,,Petrol,M15D With Strong Hybrid,BS VI 2.0,1290-1295 kg,FWD,Automatic,91.18 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI 2.0,1825 kg,,Automatic,167.67 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI 2.0,1675 kg,,Automatic,167.67 bhp
1482 cc,4.0,4.0,DOHC,GDi,Petrol,1.5 l Turbo GDi Petrol,BS VI 2.0,,FWD,Manual,157.57 bhp
2393 cc,4.0,4.0,DOHC,CRDi,Diesel,2-GD FTV Engine,BS VI,1840 kg,RWD,Manual,147.51 bhp
2393 cc,7.0,4.0,DOHC,CRDi,Diesel,2-GD FTV Engine,BS VI,1860 kg,RWD,Manual,147.51 bhp
1451 cc,4.0,4.0,,,Petrol,1.5L Turbocharged Intercooled,BS VI 2.0,,FWD,Automatic,141.04 bhp
2179 cc,4.0,4.0,,Direct Injection,Diesel,Diesel Engine,,1780 kg,RWD,Automatic,187.7 bhp
1498 cc,4.0,4.0,,Direct Injection,Petrol,1.5 L TSI Petrol,BS VI 2.0,1246-1277 kg,FWD,Automatic,147.51 bhp
2393 cc,4.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,1805 kg,RWD,Manual,147.8 bhp
2393 cc,4.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,1815 kg,RWD,Manual,147.8 bhp
2179 cc,4.0,4.0,,CRDI,Diesel,TD4 Diesel Engine,Euro IV,,4WD,Automatic,147.51 bhp
1498 cc,4.0,4.0,DOHC,TSI,Petrol,1.5 L TSI EVO with ACT,BS VI,1350 kg,FWD,Automatic,147.94 bhp
2143 cc,4.0,4.0,DOHC,CRDi,Diesel,In-Line Engine,Euro V,1655 kg,RWD,Automatic,170 bhp
1461 cc,4.0,4.0,DOHC,CRDi,Diesel,dCi THP Diesel Engine,,1200 kg,FWD,Manual,83.8 bhp
1591 cc,4.0,4.0,DOHC,MPFI,Petrol,VTVT Petrol Engine,BS IV,,FWD,Automatic,121.3 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 L K Series Engine,BS VI 2.0,940-960 kg,FWD,Automatic,88.50 bhp
1248 cc,4.0,4.0,DOHC,CRDi,Diesel,DDiS Diesel Engine,BS IV,960-985 kg,FWD,Manual,74 bhp
1498 cc,4.0,4.0,DOHC,,Diesel,Water Cooled Inline i-DTEC DOHC,BS VI,1191-1217 kg,,Manual,97.89 bhp
1498 cc,4.0,4.0,DOHC,Direct Injection,Diesel,TDI Diesel Engine,BS IV,1153 kg,FWD,Manual,108.5 bhp
1199 cc,4.0,4.0,,,Petrol,i-VTEC,BS VI 2.0,957 kg,FWD,Automatic,88.50 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk155 Diesel Engine,BS VI,1625 kg,FWD,Manual,152.87 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,1375 kg,3,Manual,118.36 bhp
1497 cc,4.0,4.0,,,Diesel,1.5L Turbocharged Revotorq,BS VI 2.0,,FWD,Manual,88.76 bhp
1498 cc,4.0,4.0,,CRDi,Diesel,U2 CRDi Diesel,BS VI,1360 kg,FWD,Manual,98.6 bhp
999 cc,3.0,4.0,,MPFi,Petrol,1.0L energy,BS VI 2.0,,FWD,Automatic,71 bhp
1373 cc,4.0,4.0,DOHC,MPFI,Petrol,k14B VVT Engine,BS IV,1030 kg,FWD,Automatic,91.1 bhp
998 cc,3.0,4.0,,GDi,Petrol,Kappa 1.0 L Turbo GDi Petrol,BS VI,1340 kg,FWD,Manual,118.35 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 l Kappa petrol,BS VI,1120 kg,,Manual,81.80 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 Kappa Petrol,BS VI,1148 kg,,Manual,81.80 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,Petrol Engine,BS IV,1137 kg,FWD,Manual,103.2 bhp
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,1049 kg,FWD,Manual,117.3 bhp
1198 cc,3.0,4.0,DOHC,MPFI,Petrol,Revotron 1.2L Turbocharge,BS IV,1252 kg,FWD,Automatic,108.5 bhp
1199 cc,3.0,4.0,,,Petrol,1.2 l Revotron,BS VI,1025 kg,,Manual,86.83 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,1230 kg,,Manual,118.35 bhp
1197 cc,4.0,4.0,,MPi,Petrol,Smartstream G1.2,BS VI 2.0,,FWD,Manual,81.8 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1785 kg,FWD,Manual,138 bhp
1373 cc,4.0,4.0,DOHC,MPFI,Petrol,K14B Petrol Engine,BS IV,1175 kg,FWD,Manual,91.1 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 Kappa petrol,BS VI,1160 kg,,Manual,81.86 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1960 kg,FWD,Automatic,140 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,1145 kg,FWD,Manual,103.2 bhp
1248 cc,4.0,4.0,DOHC,CRDi,Diesel,DDiS 200 Diesel Engine,BS IV,1190 kg,FWD,Manual,88.5 bhp
998 cc,3.0,4.0,,GDi,Petrol,Kappa 1.0 L Turbo GDi Petrol,BS VI,1440 kg,FWD,Automatic,118.35 bhp
999 cc,3.0,4.0,,multi-point fuel injection,Petrol,ENERGY Engine,BS VI 2.0,,FWD,Automatic,71.01 bhp
1199 cc,3.0,4.0,,,Petrol,1.2 l Revotron,BS VI,1030 kg,,Manual,86.83 bhp
1197 cc,4.0,4.0,,MPi,Petrol,1.2 l Kappa,BS VI 2.0,,FWD,Manual,82 bhp
1248 cc,4.0,4.0,DOHC,CRDi,Diesel,DDiS 190 Engine,BS IV,960 kg,FWD,Manual,74 bhp
998 cc,3.0,4.0,,GDi,Petrol,,,1340 kg,FWD,Manual,118.35 bhp
1497 cc,4.0,4.0,SOHC,,Petrol,i-VTEC Petrol Engine,BS IV,1238 kg,FWD,Automatic,117.3 bhp
1197 cc,4.0,4.0,,,CNG,,BS VI,990-995 kg,,Manual,76.43 bhp
1197 cc,4.0,2.0,SOHC,Direct Injection,Petrol,TSI Petrol Engine,BS IV,1179 kg,FWD,Automatic,103.2 bhp
1197 cc,4.0,4.0,,MPI,Petrol,SMARTSTREAM G1.2,BS VI,1192 kg,FWD,Manual,81.86 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDiS Diesel Engine,BS IV,965 kg,FWD,Manual,74 bhp
1199 cc,4.0,4.0,SOHC,MPFi,Petrol,i-VTEC Petrol Engine,BS IV,1103 kg,FWD,Manual,88.7 bhp
999 cc,3.0,4.0,DOHC,MPI,Petrol,1.0L MPI Petrol,BS VI,1030 kg,FWD,Manual,75.10 bhp
1497 cc,4.0,4.0,DOHC,CDI,Diesel,"Revotorq, 1.5L Turbocharg",BS IV,1305 kg,FWD,Automatic,108.5 bhp
1997 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1960 kg,FWD,Automatic,140 bhp
998 cc,3.0,4.0,,,Petrol,1.0 l Turbo GDi petrol,BS VI,1260 kg,,Automatic,118.36 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,U2 CRDI Diesel Engine,BS IV,1515 kg,FWD,Manual,88.73 bhp
1498 cc,4.0,4.0,,,Petrol,VTi-TECH,BS VI 2.0,,FWD,Manual,108.49 bhp
1462 cc,4.0,4.0,,,Petrol,K15B Smart Hybrid,BS VI,1190 kg,FWD,Automatic,103.2 bhp
1968 cc,4.0,4.0,DOHC,CRDi,Diesel,Diesel Engine,BS IV,1439 kg,FWD,Automatic,138.03 bhp
2993 cc,6.0,4.0,DOHC,CRDi,Diesel,Diesel Engine,Euro VI,2060 kg,4WD,Automatic,258 bhp
1950 cc,4.0,4.0,,,Diesel,2.0L OM654 Turbocharged I4,BS VI 2.0,1605 kg,2WD,Automatic,187.74 bhp
2996 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Petrol Engine,,1855 kg,AWD,Automatic,362 bhp
1995 cc,4.0,4.0,,,Diesel,TwinPower Turbo,BS VI 2.0,1640 kg,RWD,Automatic,187.74 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Petrol Engine,BSIV,930 kg,FWD,Manual,78.9 bhp
999 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,BS VI,725 kg,FWD,Automatic,67 bhp
814 cc,3.0,3.0,SOHC,MPFI,Petrol,Petrol Engine,,840 kg,FWD,Manual,55.2 bhp
1462 cc,4.0,4.0,,,Petrol,K15C Smart Hybrid,BS VI 2.0,1225 kg,FWD,Automatic,101.64 bhp
1498 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS 200 Smart Hybrid,BS IV,1225 kg,FWD,Manual,93.87 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1675 kg,FWD,Manual,152.87 bhp
1462 cc,4.0,4.0,DOHC,,Petrol,K15B Petrol Engine,BS VI,1110-1130 kg,FWD,Manual,103.26 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS 200 Smart Hybrid,BS IV,1245 kg,FWD,Manual,88.50 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,2020 kg,FWD,Automatic,140 bhp
1451 cc,4.0,4.0,,,Petrol,1.5 L Turbocharged Intercooled,BS VI,1545 kg,FWD,Manual,141 bhp
999 cc,3.0,4.0,,Direct Injection,Petrol,1.0 L TSI Petrol,BS VI 2.0,1160-1216 kg,FWD,Manual,113.98 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0L TSI,BS VI,1255 kg,,Manual,113.98 bhp
1498 cc,4.0,4.0,,,Petrol,i-VTEC,BS VI 2.0,1153 kg,FWD,Automatic,119.35 bhp
1498 cc,4.0,4.0,,Direct Injection,Petrol,1.5 L TSI Petrol,BS VI,1278 kg,FWD,Automatic,147.52 bhp
1498 cc,4.0,4.0,,,Petrol,i-VTEC,BS VI 2.0,1213 kg,FWD,Automatic,119 bhp
1498 cc,4.0,4.0,DOHC,,Petrol,Water Cooled Inline i-VTEC DOHC with VTC,BS VI,1107-1153 kg,,Automatic,119.35 bhp
1086 cc,3.0,4.0,SOHC,MPFI,Petrol,Petrol Engine,BSIV,825 kg,FWD,Manual,62.1 bhp
1193 cc,4.0,2.0,SOHC,MPFi,Petrol,Revotron Engine,BS IV,1115 kg,FWD,Manual,88.7 bhp
999 cc,3.0,4.0,DOHC,Multi Point Fuel Injection,Petrol,1.0L Petrol Engine,BS IV,947 kg,FWD,Manual,72 bhp
998 cc,3.0,4.0,,,Petrol,Kappa 1.0 l turbo GDi,BS VI 2.0,,FWD,Automatic,118.41 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K10B Engine,BS IV,835 kg,FWD,Manual,67.04 bhp
1248 cc,4.0,4.0,DOHC,,Diesel,DDiS 200 Diesel Engine,BS IV,1230 kg,FWD,Manual,88.5 bhp
999 cc,3.0,4.0,DOHC,Direct Injection,Petrol,Ecoboost Petrol Engine,BS IV,1290 kg,FWD,Manual,123.37 bhp
1461 cc,4.0,4.0,DOHC,CRDi,Diesel,K9K Diesel Engine,BS IV,1330 kg,FWD,Manual,83.8 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K Series Petrol Engine,BS IV,784 kg,FWD,Manual,67.05 bhp
998 cc,3.0,4.0,DOHC,,Petrol,K10B Petrol Engine,BS IV,895 kg,FWD,Automatic,67 bhp
1995 cc,4.0,4.0,DOHC,CRDi,Diesel,dCi Diesel Engine,BS IV,1750 kg,4WD,Manual,170.6 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,TSI Petrol Engine,BS IV,1174 kg,FWD,Automatic,103.2 bhp
1498 cc,4.0,4.0,DOHC,CRDI,Diesel,TDI Diesel Engine,BS IV,1216 kg,FWD,Manual,108.6 bhp
998 cc,3.0,4.0,,MPFi,Petrol,K10B Petrol Engine,BS IV,850 kg,FWD,Automatic,67 bhp
1497 cc,4.0,4.0,SOHC,EFI(Electronic Fuel Injection),Petrol,In-Line Engine,,1155 kg,FWD,Automatic,
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,In Line Petrol Engine,BS IV,1180 kg,FWD,Automatic,103.6 bhp
1493 cc,3.0,4.0,,,Diesel,mHAWk100,BS VI 2.0,,RWD,Manual,98.56 bhp
1497 cc,4.0,4.0,,MPI,Petrol,SMARTSTREAM G1.5,BS VI,1485 kg,FWD,Manual,113.43 bhp
1950 cc,4.0,4.0,DOHC,MPFI,Petrol,2L Petrol Engine,BS VI,1655 kg,RWD,Automatic,201.15 bhp
2487 cc,4.0,4.0,,,Petrol,2.5-litre a Hybrid,BS VI 2.0,,AWD,Automatic,190.42 bhp
2143 cc,4.0,4.0,DOHC,CRDi,Diesel,In Line Engine,BS IV,2150 kg,AWD,Automatic,201.15 bhp
2967 cc,4.0,4.0,DOHC,CRDi,Diesel,V-Type Diesel Engine,BS IV,2330 kg,AWD,Automatic,245 bhp
4395 cc,8.0,4.0,DOHC,Direct Injection,Petrol,TwinPower Turbo Engine,Euro VI,2020 kg,RWD,Automatic,558 bhp
2198 cc,4.0,4.0,,,Diesel,mHawk (CRDi),BS VI 2.0,,RWD,Automatic,172.45 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI,1825 kg,,Automatic,167.67 bhp
1482 cc,4.0,4.0,,GDi,Petrol,SmartStream G1.5 T-GDi,BS VI 2.0,,2WD,Automatic,157.81 bhp
1490 cc,3.0,4.0,,,Petrol,,BS VI,1290 - 1295 kg,2WD,Automatic,91.18 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0L TSI,BS VI 2.0,1285 kg,FWD,Automatic,114 bhp
1999 cc,4.0,4.0,DOHC,CRDi,Diesel,TD4 Diesel Engine,,1775 kg,4WD,Automatic,148.31 bhp
2967 cc,6.0,4.0,DOHC,CRDI,Diesel,V-Type Diesel Engine,Euro V,2345 kg,AWD,Automatic,241.4 bhp
2755 cc,4.0,4.0,DOHC,Direct Injection,Diesel,1-GD FTV Engine,BS IV,1830 kg,RWD,Automatic,171.5 bhp
2393 cc,4.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,1855 kg,RWD,Manual,147.8 bhp
2143 cc,4.0,4.0,DOHC,CRDI,Diesel,In-Line Diesel Engine,BS IV,1800 kg,RWD,Automatic,204 bhp
1999 cc,4.0,4.0,,TGDi,Petrol,2.0L Turbo Petrol,BS VI,1855 kg,FWD,Manual,197.13 bhp
2198 cc,4.0,4.0,,,Diesel,mHawk,BS VI 2.0,,FWD,Manual,182 bhp
1950 cc,4.0,4.0,DOHC,CRDi,Diesel,In-Line Engine,BS VI,1655 kg,RWD,Automatic,194 bhp
2694 cc,4.0,4.0,DOHC,,Petrol,2.7 L Dual VVT,BS VI,1790 kg,RWD,Automatic,163.60 bhp
998 cc,3.0,4.0,,MPFI,Petrol,K Series Petrol Engine,BS IV,885 kg,FWD,Manual,67.1 bhp
1497 cc,4.0,4.0,SOHC,EFI (Electronic Fuel Injection),Petrol,SOHC i-VTEC,BSIV,1100 kg,FWD,Manual,116.4 bhp
1198 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Engine,BSIV,915 kg,FWD,Manual,86.8 bhp
1199 cc,3.0,4.0,DOHC,MPFi,Petrol,Revotron Engine,BS IV,980 kg,FWD,Automatic,84 bhp
1984 cc,4.0,4.0,,,Petrol,40 TFSI quattro S tronic,BS VI 2.0,1700 kg,AWD,Automatic,187.74 bhp
1991 cc,4.0,4.0,,EFI,Petrol,M 264 petrol engine,BS VI,1585 kg,AWD,Automatic,197 bhp
1995 cc,4.0,4.0,,,Diesel,2.0l 4Cylinder twin turbo,BS VI 2.0,1865 kg,4WD,Automatic,187.74 bhp
1998 cc,4.0,4.0,,,Petrol,TwinPower Turbo,BS VI 2.0,1645 kg,RWD,Automatic,254.79 bhp
1186 cc,3.0,4.0,DOHC,CRDi,Diesel,U2 CRDi  Diesel Engine,,1100 kg,FWD,Manual,73.97 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,VVT Petrol Engine,,935 kg,FWD,Automatic,83.1 bhp
1198 cc,3.0,4.0,,MPFI,Petrol,In-Line Petrol Engine,BS IV,1055 kg,FWD,Manual,73.9 bhp
1198 cc,3.0,4.0,,MPFI,Petrol,In-Line Engine,BS IV,1030 kg,FWD,Manual,73.9 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,VVT Petrol Engine,BS IV,865 kg,FWD,Manual,83.1 bhp
1461 cc,4.0,2.0,SOHC,CRDi,Diesel,dCi In-Line Diesel Engine,BS IV,1080 kg,FWD,Manual,63.1 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,In-Line Petrol Engine,BS IV,1145 kg,FWD,Manual,103.6 bhp
1198 cc,3.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,1053 kg,FWD,Manual,74 bhp
1197 cc,4.0,4.0,DOHC,MPFi,Petrol,VTVT Engine,BS VI,855-885 kg,FWD,Manual,81.80 bhp
1248 cc,4.0,4.0,DOHC,CRDi,Diesel,DDiS Diesel Engine,BS IV,985 kg,FWD,Manual,74 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,VVT Petrol Engine,,890 kg,FWD,Manual,83.1 bhp
1199 cc,3.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,1044 kg,FWD,Manual,74 bhp
1197 cc,4.0,4.0,DOHC,EFI(Electronic Fuel Injection),Petrol,Petrol Engine,BS IV,930 kg,FWD,Manual,78.9 bhp
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,1042 kg,FWD,Manual,117.3 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,1100 kg,FWD,Automatic,81.86 bhp
1199 cc,3.0,4.0,,,Petrol,1.2L Revotron Engine,BS VI,1032 kg,,Automatic,84.82 bhp
999 cc,3.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,1044 kg,FWD,Manual,75 bhp
1493 cc,3.0,2.0,,CRDi,Diesel,mHawk 80 Diesel Engine,,1765 kg,RWD,Automatic,100 bhp
1598 cc,4.0,4.0,DOHC,Direct Injection,Diesel,Turbocharged Diesel Engin,BS IV,1205 kg,FWD,Manual,103.5 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI,810-835 kg,,Manual,65.71 bhp
1498 cc,4.0,4.0,DOHC,Direct Injection,Diesel,Diesel Engine,BS IV,1206 kg,FWD,Manual,103.52 bhp
1248 cc,4.0,4.0,DOHC,Direct Injection,Diesel,MULTIJET Engine,,1130 kg,FWD,Manual,75 bhp
1198 cc,3.0,4.0,,MPFI,Petrol,In-Lie Petrol Engine,BS IV,1055 kg,FWD,Manual,73.9 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI 2.0,,FWD,Manual,65.71 bhp
1498 cc,4.0,4.0,DOHC,,Diesel,i-DTEC Diesel Engine,BS IV,1060 kg,FWD,Manual,98.6 bhp
1364 cc,4.0,4.0,SOHC,Common Rail,Diesel,SOHC D-4D Diesel Engine,BS IV,1340 kg,FWD,Manual,87.2 bhp
1498 cc,4.0,2.0,SOHC,Common Rail,Diesel,TDCi Diesel Engine,BS IV,1040-1130 kg,FWD,Manual,99 bhp
1598 cc,4.0,4.0,,MPFI,Petrol,In-Line Engine,,1240 kg,,Manual,103.5 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDiS Diesel Engine,BS IV,1235 kg,FWD,Manual,88.76 bhp
1598 cc,4.0,4.0,,MPFI,Petrol,In-Line Engine,,1055 kg,,Manual,103.5 bhp
1248 cc,4.0,4.0,DOHC,CRDi,Diesel,DDiS Diesel Engine,BS IV,970 kg,FWD,Manual,74 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,VVT Petrol Engine,BS IV,870 kg,FWD,Manual,83.1 bhp
1499 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,1250 kg,FWD,Automatic,110.4 bhp
1086 cc,4.0,3.0,DOHC,MPFI,Petrol,1.1 litre Petrol Engine,BS IV,1050 kg,FWD,Automatic,68 bhp
1497 cc,4.0,4.0,SOHC,EFI(Electronic Fuel Injection),Petrol,In-Line Engine,,1100 kg,FWD,Manual,
1399 cc,4.0,2.0,SOHC,Common Rail,Diesel,Duratorq Diesel Engine,BS IV,1105 kg,FWD,Manual,68.1 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,Petrol Engine,BS IV,1145 kg,FWD,Manual,103.52 bhp
999 cc,3.0,4.0,SOHC,MPFi,Petrol,B4D 1.0 NA PETROL,BS VI,939 kg,,Manual,71.02 bhp
1493 cc,4.0,4.0,DOHC,Common rail direct injection,Diesel,1.5 l diesel CRDi engine,BS VI,1645 kg,,Manual,113.98 bhp
999 cc,3.0,4.0,,,Petrol,1.0L HRAO,BS VI 2.0,,FWD,Automatic,98.63 bhp
1451 cc,4.0,4.0,,,Petrol,1.5L Turbocharged Intercooled,BS VI,1775 kg,,Manual,141 bhp
999 cc,3.0,4.0,,Direct Injection,Petrol,1.0 L TSI Petrol,BS VI 2.0,1219-1252 kg,FWD,Automatic,113.98 bhp
1373 cc,4.0,4.0,DOHC,MPFI,Petrol,K Series Petrol Engine,BS IV,1160 kg,FWD,Manual,93.7 bhp
1461 cc,4.0,4.0,DOHC,CRDi,Diesel,dCi THP Diesel Engine,,1250 kg,FWD,Manual,108.45 bhp
1462 cc,4.0,4.0,,,Petrol,K15C Smart Hybrid,BS VI 2.0,1150-1205 kg,FWD,Automatic,101.64 bhp
1199 cc,4.0,4.0,SOHC,,Petrol,1.2 i-VTEC,BS VI,1085 kg,,Automatic,88.50 bhp
1197 cc,4.0,4.0,DOHC,MPFi,Petrol,VTVT Engine,BS VI,855-885 kg,FWD,Automatic,81.80 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,1900 kg,FWD,Manual,140 bhp
1497 cc,4.0,4.0,DOHC,CRDi,Diesel,1.5L Turbo Diesel,BS VI,1465 kg,FWD,Manual,115 bhp
999 cc,3.0,4.0,,MPFi,Petrol,1.0L Energy,BS VI 2.0,,FWD,Manual,71 bhp
999 cc,3.0,4.0,SOHC,TSI,Petrol,TSI Petrol Engine,BS VI,1138 kg,FWD,Manual,108.62 bhp
998 cc,3.0,4.0,,GDi,Petrol,,,1440 kg,FWD,Automatic,118.35 bhp
