Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
20.71 kmpl,799 cc,750 kg,Petrol,Manual,53.64 bhp,3.0,Feb 2022
23.84 kmpl,1199 cc,980 kg,Petrol,Manual,84 bhp,3.0,Oct 2016
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Aug 2016
24.39 kmpl,998 cc,,Petrol,Manual,65.71 bhp,3.0,Nov 2017
18.5 kmpl,1197 cc,1040 kg,Petrol,Manual,82.85 bhp,4.0,Nov 2013
21.1 kmpl,814 cc,910 kg,Petrol,Manual,55.2 bhp,3.0,Dec 2018
16.95 kmpl,1498 cc,1080 kg,Petrol,Manual,97.6 bhp,4.0,Jun 2016
18.5 kmpl,1198 cc,930 kg,Petrol,Manual,86.8 bhp,4.0,Nov 2018
17.5 kmpl,1298 cc,1025 kg,Petrol,Manual,85.8 bhp,4.0,Jun 2011
19.1 kmpl,1197 cc,1160 kg,Petrol,Manual,82 bhp,4.0,Feb 2015
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Jun 2016
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Oct 2013
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Jun 2015
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Apr 2013
21.1 kmpl,814 cc,880 kg,Petrol,Manual,55.2 bhp,3.0,Aug 2014
23.84 kmpl,1199 cc,980 kg,Petrol,Manual,84 bhp,3.0,Nov 2018
25.24 kmpl,998 cc,810 kg,Petrol,Manual,67.77 bhp,3.0,Dec 2017
22 kmpl,1582 cc,1255 kg,Diesel,Manual,126.2 bhp,4.0,Jan 2019
19.01 kmpl,1462 cc,1180 kg,Petrol,Manual,103.2 bhp,4.0,Dec 2021
19.46 kmpl,1199 cc,952-986 kg,Petrol,Automatic,89 bhp,4.0,Nov 2019
18.7 kmpl,1199 cc,1042 kg,Petrol,Manual,88.7 bhp,4.0,Mar 2016
25.17 kmpl,799 cc,710 kg,Petrol,Manual,53.3 bhp,3.0,Aug 2017
28.09 kmpl,1248 cc,1115 kg,Diesel,Manual,88.5 bhp,4.0,Apr 2017
23.1 kmpl,998 cc,847 kg,Petrol,Automatic,67.04 bhp,3.0,Sept 2017
16.2 kmpl,1199 cc,1030 kg,Petrol,Manual,74 bhp,3.0,Aug 2016
20.58 kmpl,1462 cc,1185-1210 kg,,Automatic,101.64 bhp,4.0,Dec 2023
17.23 kmpl,999 cc,1255 kg,,Automatic,113.98 bhp,3.0,Mar 2022
17.23 kmpl,999 cc,1255 kg,,Automatic,113.98 bhp,3.0,May 2022
14.6 kmpl,1956 cc,1700 kg,Diesel,Automatic,167.67 bhp,4.0,Aug 2022
14.6 kmpl,1956 cc,1700 kg,Diesel,Automatic,167.67 bhp,4.0,Apr 2021
20.65 kmpl,1462 cc,1110 kg,Petrol,Manual,103.25 bhp,4.0,May 2022
26 kmpl,1498 cc,1150 kg,Diesel,Manual,98.6 bhp,4.0,Jun 2015
18.1 kmpl,1493 cc,1675 kg,Diesel,Automatic,113.98 bhp,4.0,Jun 2022
23.9 kmpl,1582 cc,1250 kg,Diesel,Manual,126.32 bhp,4.0,Mar 2016
28.09 kmpl,1248 cc,1115 kg,Diesel,Manual,88.5 bhp,4.0,Jan 2017
16.8 kmpl,1497 cc,1340 kg,Petrol,Manual,113.43 bhp,4.0,Sept 2021
,2393 cc,1815 kg,Diesel,Manual,147.8 bhp,4.0,Aug 2019
30.48 km/kg,1086 cc,1070 kg,CNG,Manual,58 bhp,4.0,Mar 2019
27.28 kmpl,1047 cc,1050 kg,Diesel,Manual,69 bhp,3.0,Nov 2016
23.1 kmpl,998 cc,840 kg,Petrol,Automatic,67.04 bhp,3.0,Apr 2017
,2179 cc,1595 kg,Diesel,Manual,152.87 bhp,4.0,Dec 2016
21.7 kmpl,1498 cc,1277 kg,Diesel,Manual,99.23 bhp,4.0,Jun 2021
17.03 kmpl,1462 cc,1110-1130 kg,Petrol,Manual,103.26 bhp,4.0,Aug 2016
18.3 kmpl,1199 cc,945 kg,Petrol,Automatic,88.76 bhp,4.0,Apr 2022
19.36 kmpl,999 cc,1219-1252 kg,Petrol,Automatic,113.98 bhp,3.0,May 2023
20.28 kmpl,998 cc,1260 kg,Petrol,Automatic,118.36 bhp,3.0,Jan 2022
24.3 kmpl,1248 cc,1210 kg,,Manual,88.5 bhp,4.0,Apr 2017
,2494 cc,1675 kg,Diesel,Manual,100.6 bhp,4.0,Oct 2015
16 kmpl,1197 cc,,Petrol,Manual,82 bhp,4.0,Sept 2024
14 kmpl,1497 cc,1430 kg,Petrol,Manual,113.18 bhp,4.0,Jul 2020
17.33 kmpl,1199 cc,1230 kg,Petrol,Manual,118.35 bhp,3.0,Oct 2021
17 kmpl,1198 cc,1252 kg,Petrol,Automatic,108.5 bhp,3.0,Jul 2018
