Mileage,Engine,Kerb Weight,Fuel,Transmission Type,Power,No. of Cylinders,Registration Year
14.08 kmpl,1956 cc,1825 kg,Diesel,Automatic,167.67 bhp,4.0,Jul 2022
14.6 kmpl,1956 cc,1675 kg,Diesel,Automatic,167.67 bhp,4.0,Mar 2023
18.8 kmpl,1482 cc,,Petrol,Manual,157.57 bhp,4.0,Jun 2024
,2393 cc,1840 kg,Diesel,Manual,147.51 bhp,4.0,Nov 2020
,2393 cc,1860 kg,Diesel,Manual,147.51 bhp,7.0,Jul 2020
12.34 kmpl,1451 cc,,Petrol,Automatic,141.04 bhp,4.0,Jun 2023
,2179 cc,1780 kg,Diesel,Automatic,187.7 bhp,4.0,Aug 2013
19.36 kmpl,1498 cc,1246-1277 kg,Petrol,Automatic,147.51 bhp,4.0,Jun 2024
14.9 kmpl,1956 cc,,Diesel,Automatic,168 bhp,4.0,Aug 2021
,2393 cc,1805 kg,Diesel,Manual,147.8 bhp,4.0,Dec 2017
,2393 cc,1825 kg,Diesel,Manual,147.8 bhp,7.0,Dec 2018
14.9 kmpl,1956 cc,1705 kg,Diesel,Automatic,167.67 bhp,4.0,Jul 2021
,2393 cc,1805 kg,Diesel,Manual,147.8 bhp,4.0,Mar 2017
,2179 cc,,Diesel,Automatic,147.51 bhp,4.0,Mar 2014
18.4 kmpl,1498 cc,1350 kg,Petrol,Automatic,147.94 bhp,4.0,Jun 2020
,2143 cc,1655 kg,Diesel,Automatic,170 bhp,4.0,Feb 2017
19.87 kmpl,1461 cc,1200 kg,,Manual,83.8 bhp,4.0,Mar 2026
24.35 kmpl,998 cc,825 kg,Petrol,Manual,65.71 bhp,3.0,Jan 2015
11 kmpl,1999 cc,1850 kg,Petrol,Automatic,197.13 bhp,4.0,May 2022
20.71 kmpl,799 cc,770 kg,Petrol,Manual,53.64 bhp,3.0,Aug 2016
17.01 kmpl,1591 cc,,Petrol,Automatic,121.3 bhp,4.0,Feb 2015
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Mar 2016
22.94 kmpl,1197 cc,940-960 kg,Petrol,Automatic,88.50 bhp,4.0,Aug 2018
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Aug 2021
24.1 kmpl,1498 cc,1191-1217 kg,Diesel,Manual,97.89 bhp,4.0,Nov 2014
21.49 kmpl,1498 cc,1153 kg,Diesel,Manual,108.5 bhp,4.0,Jun 2015
16.8 kmpl,1497 cc,1095 kg,Petrol,Manual,116.3 bhp,4.0,Mar 2014
15.42 kmpl,2198 cc,,Diesel,Automatic,172.45 bhp,4.0,Feb 2023
15.42 kmpl,2198 cc,,Diesel,Automatic,172.45 bhp,4.0,Nov 2022
,2143 cc,1655 kg,Diesel,Automatic,170 bhp,4.0,Jul 2017
14.2 kmpl,2198 cc,2238 kg,Diesel,Automatic,158.2 bhp,4.0,Jan 2021
18.3 kmpl,1199 cc,957 kg,Petrol,Automatic,88.50 bhp,4.0,Mar 2023
15.1 kmpl,2179 cc,1625 kg,,Manual,152.87 bhp,4.0,May 2019
17.57 kmpl,1199 cc,1375 kg,,Manual,118.36 bhp,3.0,Apr 2022
23.64 kmpl,1497 cc,,Diesel,Manual,88.76 bhp,4.0,Sept 2021
18 kmpl,998 cc,1300 kg,Petrol,Manual,118.35 bhp,3.0,Oct 2020
23.7 kmpl,1498 cc,1360 kg,Diesel,Manual,98.6 bhp,4.0,Feb 2022
19.03 kmpl,999 cc,,,Automatic,71 bhp,3.0,Nov 2021
19.12 kmpl,1373 cc,1030 kg,Petrol,Automatic,91.1 bhp,4.0,Oct 2020
18 kmpl,998 cc,1340 kg,Petrol,Manual,118.35 bhp,3.0,Jan 2022
18.6 kmpl,1197 cc,1066 kg,Petrol,Manual,81.83 bhp,4.0,Aug 2018
21 kmpl,1197 cc,1120 kg,Petrol,Manual,81.80 bhp,4.0,Jul 2022
16 kmpl,1197 cc,1148 kg,Petrol,Manual,81.80 bhp,4.0,Jun 2022
16 kmpl,2179 cc,1655 kg,,Manual,140 bhp,4.0,Apr 2016
14.3 kmpl,1598 cc,1137 kg,Petrol,Manual,103.2 bhp,4.0,Jul 2018
17.21 kmpl,1197 cc,1109 kg,Petrol,Automatic,103.5 bhp,4.0,Jul 2017
17.8 kmpl,1497 cc,1049 kg,Petrol,Manual,117.3 bhp,4.0,Apr 2017
17 kmpl,1198 cc,1252 kg,Petrol,Automatic,108.5 bhp,3.0,Sept 2019
24.52 kmpl,1248 cc,1265 kg,Diesel,Manual,88.5 bhp,4.0,May 2016
22.38 kmpl,1197 cc,875-905 kg,Petrol,Manual,88.50 bhp,4.0,Jan 2023
17 kmpl,1198 cc,1252 kg,Petrol,Manual,108.5 bhp,3.0,Oct 2020
25.1 kmpl,1498 cc,1165 kg,Diesel,Manual,98.6 bhp,4.0,Oct 2015
16 kmpl,2179 cc,1655 kg,,Manual,140 bhp,4.0,Feb 2018
19.33 kmpl,1199 cc,1025 kg,Petrol,Manual,86.83 bhp,3.0,Aug 2020
24.3 kmpl,1248 cc,1200 kg,,Manual,88.5 bhp,4.0,Oct 2017
17.33 kmpl,1199 cc,1230 kg,Petrol,Manual,118.35 bhp,3.0,Sept 2020
19.4 kmpl,1197 cc,,Petrol,Manual,81.8 bhp,4.0,Sept 2023
18.4 kmpl,1197 cc,,Petrol,Manual,81.8 bhp,4.0,Jul 2024
19.01 kmpl,1461 cc,1240 kg,,Manual,108.45 bhp,4.0,Mar 2013
16 kmpl,2179 cc,1785 kg,,Manual,138 bhp,4.0,Apr 2019
17.5 kmpl,1373 cc,1175 kg,Petrol,Manual,91.1 bhp,4.0,Nov 2017
20.7 kmpl,1197 cc,1160 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2021
18.3 kmpl,998 cc,1505 kg,Petrol,Automatic,118.36 bhp,3.0,Jun 2020
17 kmpl,1198 cc,1252 kg,Petrol,Manual,108.5 bhp,3.0,Jan 2020
16 kmpl,2179 cc,1960 kg,,Automatic,140 bhp,4.0,Mar 2016
16.82 kmpl,1197 cc,1430 kg,Petrol,Manual,108.62 bhp,3.0,Nov 2022
16.09 kmpl,1598 cc,1145 kg,Petrol,Manual,103.2 bhp,4.0,Aug 2018
24.3 kmpl,1248 cc,1190 kg,,Manual,88.5 bhp,4.0,Apr 2018
18.15 kmpl,998 cc,1440 kg,Petrol,Automatic,118.35 bhp,3.0,Feb 2020
23.64 kmpl,1497 cc,,Diesel,Manual,88.76 bhp,4.0,Mar 2023
18.15 kmpl,998 cc,1440 kg,Petrol,Automatic,118.35 bhp,3.0,Nov 2021
16.5 kmpl,1499 cc,1290 kg,,Automatic,110 bhp,4.0,Nov 2016
18.2 kmpl,999 cc,,Petrol,Automatic,71.01 bhp,3.0,Apr 2022
19.33 kmpl,1199 cc,1030 kg,Petrol,Manual,86.83 bhp,3.0,Nov 2022
20.36 kmpl,1197 cc,,Petrol,Manual,82 bhp,4.0,Jul 2019
28.4 kmpl,1248 cc,960 kg,Diesel,Manual,74 bhp,4.0,Nov 2019
13.96 kmpl,1451 cc,1800 kg,,Automatic,141 bhp,4.0,Jan 2020
18.4 kmpl,1493 cc,1215 kg,Diesel,Manual,98.63 bhp,4.0,Aug 2021
18.27 kmpl,998 cc,1340 kg,Petrol,Manual,118.35 bhp,3.0,Jun 2019
17.99 kmpl,1462 cc,1135-1170 kg,Petrol,Automatic,103.26 bhp,4.0,Oct 2017
23.7 kmpl,1493 cc,1220 kg,Diesel,Manual,98.6 bhp,4.0,Aug 2020
15.4 kmpl,1497 cc,1238 kg,,Automatic,117.3 bhp,4.0,Oct 2019
31.12 km/kg,1197 cc,990-995 kg,CNG,Manual,76.43 bhp,4.0,Jul 2022
18.19 kmpl,1197 cc,1179 kg,Petrol,Automatic,103.2 bhp,4.0,Sept 2017
17.8 kmpl,1493 cc,1495 kg,Diesel,Automatic,113.42 bhp,4.0,Sept 2020
18.4 kmpl,1197 cc,1192 kg,Petrol,Manual,81.86 bhp,4.0,Oct 2020
25.2 kmpl,1248 cc,965 kg,Diesel,Manual,74 bhp,4.0,Sept 2016
17.5 kmpl,1199 cc,1103 kg,,Manual,88.7 bhp,4.0,Jun 2018
17.74 kmpl,999 cc,1030 kg,Petrol,Manual,75.10 bhp,3.0,Jun 2020
15.1 kmpl,2179 cc,1635 kg,Diesel,Manual,140 bhp,4.0,Jan 2015
24.3 kmpl,1248 cc,1200 kg,,Manual,88.5 bhp,4.0,Jan 2018
18.2 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Jan 2020
17.03 kmpl,1462 cc,1115-1130 kg,Petrol,Manual,103.26 bhp,4.0,Jan 2022
21.5 kmpl,1497 cc,1305 kg,Diesel,Automatic,108.5 bhp,4.0,Jun 2018
20.73 kmpl,1373 cc,1030 kg,Petrol,Manual,91.1 bhp,4.0,May 2024
16 kmpl,1997 cc,1960 kg,,Automatic,140 bhp,4.0,Sept 2016
20.28 kmpl,998 cc,1260 kg,Petrol,Automatic,118.36 bhp,3.0,Nov 2023
22.54 kmpl,1396 cc,1515 kg,Diesel,Manual,88.73 bhp,4.0,Oct 2017
18.43 kmpl,1462 cc,1130-1170 kg,Petrol,Automatic,103.25 bhp,4.0,Mar 2021
15.43 kmpl,1498 cc,,Petrol,Manual,108.49 bhp,4.0,May 2024
,1462 cc,1190 kg,Petrol,Automatic,103.2 bhp,4.0,Jun 2020
16.96 kmpl,1968 cc,1439 kg,Diesel,Automatic,138.03 bhp,4.0,Apr 2015
,2993 cc,2060 kg,Diesel,Automatic,258 bhp,6.0,Jan 2018
,1950 cc,1735 kg,Diesel,Automatic,191.76 bhp,4.0,Feb 2022
,1950 cc,1605 kg,Diesel,Automatic,187.74 bhp,4.0,Mar 2023
,2987 cc,2455 kg,Diesel,Automatic,258 bhp,6.0,Jun 2016
,1950 cc,1745 kg,Diesel,Automatic,194 bhp,4.0,Aug 2020
,1950 cc,1745 kg,Diesel,Automatic,194 bhp,4.0,Jun 2020
,2996 cc,1855 kg,Petrol,Automatic,362 bhp,4.0,Jul 2018
,1995 cc,1640 kg,Diesel,Automatic,187.74 bhp,4.0,Jun 2024
,2993 cc,2060 kg,Diesel,Automatic,258 bhp,6.0,Feb 2017
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,May 2012
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,May 2011
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,Oct 2012
17 kmpl,1197 cc,1020 kg,Petrol,Manual,,4.0,May 2011
16.5 kmpl,1198 cc,970 kg,Petrol,Automatic,86.8 bhp,4.0,Mar 2016
21.1 kmpl,814 cc,910 kg,Petrol,Manual,55.2 bhp,3.0,Jan 2018
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Jun 2013
17 kmpl,1197 cc,1020 kg,Petrol,Manual,,4.0,Jun 2012
26.68 kmpl,998 cc,815 kg,Petrol,Automatic,67.77 bhp,3.0,Feb 2016
19.81 kmpl,1086 cc,900 kg,Petrol,Manual,68.05 bhp,4.0,May 2011
21.9 kmpl,1396 cc,1140 kg,Diesel,Manual,88.76 bhp,4.0,Sept 2012
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,Jan 2012
24.04 kmpl,999 cc,730 kg,Petrol,Automatic,67 bhp,3.0,Feb 2017
19.81 kmpl,1086 cc,900 kg,Petrol,Manual,68.05 bhp,4.0,Jun 2012
19.81 kmpl,1086 cc,900 kg,Petrol,Manual,68.05 bhp,4.0,Nov 2011
24.04 kmpl,999 cc,730 kg,Petrol,Automatic,67 bhp,3.0,Oct 2018
24.04 kmpl,999 cc,725 kg,Petrol,Automatic,67 bhp,3.0,Jun 2018
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Sept 2013
21.1 kmpl,814 cc,840 kg,Petrol,Manual,55.2 bhp,3.0,Mar 2013
17 kmpl,1197 cc,1020 kg,Petrol,Manual,,4.0,Apr 2011
20.36 kmpl,1197 cc,960 kg,Petrol,Manual,78.9 bhp,4.0,Jun 2013
19.81 kmpl,1086 cc,860 kg,Petrol,Manual,68.05 bhp,4.0,Dec 2014
20.51 kmpl,998 cc,885 kg,Petrol,Manual,67.04 bhp,3.0,Dec 2014
18.6 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,May 2010
19.4 kmpl,1198 cc,925 kg,Petrol,Manual,86.8 bhp,4.0,Jun 2013
19.7 kmpl,796 cc,705 kg,Petrol,Manual,46.3 bhp,3.0,Mar 2013
25.24 kmpl,998 cc,810 kg,Petrol,Manual,67.77 bhp,3.0,Apr 2016
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Sept 2012
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Nov 2012
20.36 kmpl,1197 cc,960 kg,Petrol,Manual,78.9 bhp,4.0,Mar 2011
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Sept 2009
,1462 cc,1225 kg,Petrol,Automatic,101.64 bhp,4.0,Sept 2022
24.2 kmpl,1498 cc,1225 kg,Diesel,Manual,93.87 bhp,4.0,Nov 2019
15.1 kmpl,1798 cc,1376 kg,Petrol,Automatic,178 bhp,4.0,Mar 2019
15.1 kmpl,2179 cc,1675 kg,,Manual,152.87 bhp,4.0,Nov 2018
20.28 kmpl,998 cc,1260 kg,Petrol,Automatic,118.36 bhp,3.0,Sept 2023
19.2 kmpl,999 cc,1255 kg,,Manual,113.98 bhp,3.0,Apr 2022
17.23 kmpl,999 cc,1256 kg,,Automatic,114 bhp,3.0,Feb 2023
21.11 kmpl,1462 cc,1140-1185 kg,,Manual,101.64 bhp,4.0,Apr 2023
25.47 kmpl,1248 cc,1245 kg,Diesel,Manual,88.50 bhp,4.0,Apr 2019
16 kmpl,2179 cc,2020 kg,,Automatic,140 bhp,4.0,Aug 2017
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,Jan 2021
10 kmpl,1451 cc,1545 kg,,Manual,141 bhp,4.0,Aug 2021
19 kmpl,999 cc,1160-1216 kg,Petrol,Manual,113.98 bhp,3.0,Jun 2023
20.08 kmpl,999 cc,1255 kg,Petrol,Manual,113.98 bhp,3.0,Nov 2021
,1462 cc,1225 kg,Petrol,Automatic,101.64 bhp,4.0,Aug 2022
18.4 kmpl,1498 cc,1153 kg,Petrol,Automatic,119.35 bhp,4.0,Apr 2023
18.6 kmpl,1498 cc,1107-1153 kg,Petrol,Manual,119.35 bhp,4.0,Dec 2022
18.41 kmpl,1498 cc,1278 kg,Petrol,Automatic,147.52 bhp,4.0,Jan 2022
18.3 kmpl,1498 cc,1107-1153 kg,Petrol,Automatic,119.35 bhp,4.0,Jun 2020
17.8 kmpl,1498 cc,1107 kg,Petrol,Manual,119.35 bhp,4.0,Apr 2024
17 kmpl,1497 cc,,Petrol,Manual,113.42 bhp,4.0,Jun 2023
21.11 kmpl,1462 cc,1140-1185 kg,,Manual,101.64 bhp,4.0,Oct 2024
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2015
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,May 2017
21.63 kmpl,998 cc,835 kg,Petrol,Manual,67.05 bhp,3.0,Apr 2017
18.55 kmpl,1462 cc,1130-1170 kg,Petrol,Manual,103.25 bhp,4.0,Mar 2022
17.92 kmpl,1086 cc,825 kg,Petrol,Manual,62.1 bhp,3.0,Mar 2014
17.57 kmpl,1193 cc,1115 kg,Petrol,Manual,88.7 bhp,4.0,Feb 2015
20 kmpl,999 cc,947 kg,Petrol,Manual,72 bhp,3.0,Dec 2019
16.5 kmpl,1353 cc,1535 kg,Petrol,Automatic,138.08 bhp,4.0,Jun 2022
19 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Aug 2016
23.65 kmpl,1248 cc,1240 kg,,Manual,88.5 bhp,4.0,Mar 2016
18 kmpl,998 cc,,Petrol,Automatic,118.41 bhp,3.0,Jan 2023
23.1 kmpl,998 cc,835 kg,Petrol,Manual,67.04 bhp,3.0,Jan 2017
18.55 kmpl,1462 cc,1130-1170 kg,Petrol,Manual,103.25 bhp,4.0,Jun 2020
23.65 kmpl,1248 cc,1230 kg,,Manual,88.5 bhp,4.0,Jan 2016
18.88 kmpl,999 cc,1290 kg,,Manual,123.37 bhp,3.0,Feb 2016
,1497 cc,1400 kg,Petrol,Automatic,113.43 bhp,4.0,Jun 2022
18.55 kmpl,1462 cc,1130-1170 kg,Petrol,Manual,103.25 bhp,4.0,Apr 2022
23.1 kmpl,998 cc,835 kg,Petrol,Manual,67.04 bhp,3.0,Apr 2015
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Jun 2013
20 kmpl,999 cc,947 kg,Petrol,Manual,72 bhp,3.0,Oct 2019
15.8 kmpl,1499 cc,1290 kg,,Manual,110 bhp,4.0,Mar 2014
20.45 kmpl,1461 cc,1330 kg,,Manual,83.8 bhp,4.0,Jan 2016
23.95 kmpl,998 cc,784 kg,Petrol,Manual,67.05 bhp,3.0,Jun 2019
17 kmpl,1497 cc,1242 kg,,Manual,121.31 bhp,3.0,Nov 2017
20.51 kmpl,998 cc,895 kg,Petrol,Automatic,67 bhp,3.0,Sept 2017
16.26 kmpl,1995 cc,1750 kg,,Manual,170.6 bhp,4.0,Oct 2014
16.93 kmpl,1197 cc,1174 kg,Petrol,Automatic,103.2 bhp,4.0,Feb 2014
19.1 kmpl,1493 cc,,Diesel,Automatic,114.41 bhp,4.0,Nov 2023
16.8 kmpl,1497 cc,1340 kg,Petrol,Manual,113.43 bhp,4.0,Jun 2020
22.27 kmpl,1498 cc,1216 kg,Diesel,Manual,108.6 bhp,4.0,Jan 2026
18.7 kmpl,1199 cc,1042 kg,Petrol,Manual,88.7 bhp,4.0,Oct 2017
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Jan 2018
21.63 kmpl,998 cc,850 kg,Petrol,Automatic,67 bhp,3.0,Nov 2018
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2014
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,Jun 2015
17.57 kmpl,1193 cc,1115 kg,Petrol,Manual,88.7 bhp,4.0,Aug 2016
19 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Jan 2016
16.5 kmpl,1353 cc,1515 kg,Petrol,Manual,138.08 bhp,4.0,May 2022
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2017
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Dec 2018
22.54 kmpl,1396 cc,1515 kg,Diesel,Manual,88.73 bhp,4.0,Aug 2015
18.16 kmpl,1196 cc,995-1015 kg,Petrol,Manual,86.8 bhp,4.0,Jan 2016
16.8 kmpl,1497 cc,1155 kg,Petrol,Automatic,,4.0,Mar 2012
18.9 kmpl,1197 cc,1060 kg,Petrol,Manual,81.86 bhp,4.0,Mar 2017
18.9 kmpl,1197 cc,1200 kg,Petrol,Automatic,81.86 bhp,4.0,Dec 2017
19 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Oct 2015
20.8 kmpl,1493 cc,1535 kg,Diesel,Manual,113.43 bhp,4.0,Apr 2022
17.57 kmpl,1193 cc,1115 kg,Petrol,Manual,88.7 bhp,4.0,Apr 2017
23.65 kmpl,1248 cc,1230 kg,,Manual,88.5 bhp,4.0,Feb 2017
18.19 kmpl,1197 cc,1179 kg,Petrol,Automatic,103.2 bhp,4.0,Aug 2017
18.9 kmpl,1197 cc,1120 kg,Petrol,Manual,81.86 bhp,4.0,May 2016
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Apr 2014
18.9 kmpl,1197 cc,1100 kg,Petrol,Manual,81.86 bhp,4.0,Feb 2018
16.5 kmpl,1353 cc,1535 kg,Petrol,Automatic,138.08 bhp,4.0,Jan 2020
17 kmpl,1198 cc,1069 kg,Petrol,Manual,73.75 bhp,3.0,Aug 2016
20 kmpl,999 cc,,Petrol,Manual,71.01 bhp,3.0,Feb 2020
17.57 kmpl,1193 cc,1115 kg,Petrol,Manual,88.7 bhp,4.0,Jan 2015
14.4 kmpl,1598 cc,1180 kg,Petrol,Automatic,103.6 bhp,4.0,Mar 2013
19 kmpl,1199 cc,1066 kg,Petrol,Automatic,88.7 bhp,4.0,Mar 2018
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,Aug 2020
20.51 kmpl,998 cc,890 kg,Petrol,Automatic,67 bhp,3.0,Aug 2016
16.8 kmpl,1497 cc,1404 kg,Petrol,Manual,113.43 bhp,4.0,Oct 2020
19.2 kmpl,999 cc,1195-1255 kg,,Manual,113.98 bhp,3.0,Sept 2021
20.89 kmpl,1197 cc,855 kg,Petrol,Automatic,81.80 bhp,4.0,May 2017
17.29 kmpl,1493 cc,,,Manual,98.56 bhp,3.0,Oct 2023
16.5 kmpl,1353 cc,1535 kg,Petrol,Automatic,138.08 bhp,4.0,Nov 2019
16.93 kmpl,1197 cc,1174 kg,Petrol,Automatic,103.2 bhp,4.0,Sept 2015
16.8 kmpl,1497 cc,1485 kg,Petrol,Manual,113.43 bhp,4.0,Nov 2021
18.9 kmpl,1197 cc,935 kg,Petrol,Automatic,82 bhp,4.0,Sept 2016
16.5 kmpl,1353 cc,1535 kg,Petrol,Automatic,138.08 bhp,4.0,Oct 2019
18.9 kmpl,1197 cc,935 kg,Petrol,Manual,82 bhp,4.0,Feb 2015
,1950 cc,1655 kg,Petrol,Automatic,201.15 bhp,4.0,Oct 2021
,2487 cc,,Petrol,Automatic,190.42 bhp,4.0,Jul 2023
,1950 cc,1745 kg,Diesel,Automatic,194 bhp,4.0,Mar 2026
17.9 kmpl,2143 cc,2150 kg,,Automatic,201.15 bhp,4.0,Jul 2018
14.75 kmpl,2967 cc,2330 kg,,Automatic,245 bhp,4.0,Jan 2017
,1950 cc,1745 kg,Diesel,Automatic,194 bhp,4.0,Oct 2022
,1950 cc,1745 kg,Diesel,Automatic,194 bhp,4.0,Jan 2022
,4395 cc,2020 kg,Petrol,Automatic,558 bhp,8.0,Jul 2023
,2993 cc,2060 kg,Diesel,Automatic,258 bhp,6.0,Aug 2017
15.42 kmpl,2198 cc,,Diesel,Automatic,172.45 bhp,4.0,Jan 2023
14.08 kmpl,1956 cc,1825 kg,Diesel,Automatic,167.67 bhp,4.0,Apr 2021
17.9 kmpl,1482 cc,,Petrol,Automatic,157.81 bhp,4.0,Oct 2024
17.9 kmpl,1482 cc,,Petrol,Automatic,157.81 bhp,4.0,Sept 2024
27.97 kmpl,1490 cc,1290 - 1295 kg,Petrol,Automatic,91.18 bhp,3.0,Mar 2023
15.1 kmpl,1798 cc,1376 kg,Petrol,Automatic,178 bhp,4.0,Jul 2018
17.23 kmpl,999 cc,1285 kg,,Automatic,114 bhp,3.0,Jun 2025
,1999 cc,1775 kg,Diesel,Automatic,148.31 bhp,4.0,Jan 2016
27.97 kmpl,1490 cc,1260-1275 kg,,Automatic,91.18 bhp,3.0,Jun 2023
,2967 cc,2345 kg,Diesel,Automatic,241.4 bhp,6.0,Jun 2014
,2755 cc,1830 kg,Diesel,Automatic,171.5 bhp,4.0,Dec 2016
,2755 cc,1880 kg,Diesel,Automatic,171.5 bhp,4.0,Sept 2016
,2755 cc,1880 kg,Diesel,Automatic,171.5 bhp,4.0,May 2016
,2755 cc,1880 kg,Diesel,Automatic,171.5 bhp,4.0,Sept 2017
,2393 cc,1855 kg,Diesel,Manual,147.8 bhp,4.0,Mar 2017
,2143 cc,1800 kg,Diesel,Automatic,204 bhp,4.0,Aug 2016
13 kmpl,1999 cc,1855 kg,Petrol,Manual,197.13 bhp,4.0,Mar 2022
17 kmpl,2198 cc,,Diesel,Manual,182 bhp,4.0,Jun 2023
,2143 cc,1800 kg,Diesel,Automatic,204 bhp,4.0,Mar 2016
,1950 cc,1655 kg,Diesel,Automatic,194 bhp,4.0,Feb 2021
,2694 cc,1790 kg,Petrol,Automatic,163.60 bhp,4.0,Oct 2022
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,Feb 2012
25.17 kmpl,799 cc,710 kg,Petrol,Manual,53.3 bhp,3.0,Oct 2018
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,Apr 2011
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,Jun 2011
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Apr 2011
19.81 kmpl,1086 cc,900 kg,Petrol,Manual,68.05 bhp,4.0,Mar 2014
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Aug 2012
22.25 kmpl,799 cc,690 kg,Petrol,Manual,53.26 bhp,3.0,Nov 2021
24.04 kmpl,999 cc,730 kg,Petrol,Automatic,67 bhp,3.0,Dec 2016
18.9 kmpl,998 cc,885 kg,Petrol,Manual,67.1 bhp,3.0,Mar 2013
16.8 kmpl,1497 cc,1100 kg,Petrol,Manual,116.4 bhp,4.0,Dec 2012
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Aug 2013
20.36 kmpl,1197 cc,930 kg,Petrol,Manual,78.9 bhp,4.0,Oct 2011
22.9 kmpl,1248 cc,1060 kg,Diesel,Manual,74 bhp,4.0,Mar 2013
18.9 kmpl,1197 cc,935 kg,Petrol,Automatic,82 bhp,4.0,Mar 2015
16.95 kmpl,1197 cc,990 kg,Petrol,Automatic,78.9 bhp,4.0,Jun 2013
19.4 kmpl,1198 cc,915 kg,Petrol,Manual,86.8 bhp,4.0,May 2013
23.84 kmpl,1199 cc,980 kg,Petrol,Automatic,84 bhp,3.0,Jan 2018
18.15 kmpl,1198 cc,1155 kg,,Manual,82 bhp,3.0,May 2017
20.4 kmpl,1194 cc,980 kg,Petrol,Manual,94.93 bhp,3.0,Nov 2012
10.14 kmpl,1984 cc,1700 kg,Petrol,Automatic,187.74 bhp,4.0,Jan 2023
,1991 cc,1585 kg,Petrol,Automatic,197 bhp,4.0,Mar 2020
,1995 cc,1865 kg,Diesel,Automatic,187.74 bhp,4.0,May 2023
,2487 cc,,Petrol,Automatic,190.42 bhp,4.0,Feb 2023
,1998 cc,1645 kg,Petrol,Automatic,254.79 bhp,4.0,Nov 2025
24 kmpl,1186 cc,1100 kg,Diesel,Manual,73.97 bhp,3.0,Apr 2016
21.4 kmpl,1197 cc,935 kg,Petrol,Automatic,83.1 bhp,4.0,Nov 2018
22.54 kmpl,1396 cc,1515 kg,Diesel,Manual,88.73 bhp,4.0,May 2016
22.94 kmpl,1197 cc,940-960 kg,Petrol,Automatic,88.50 bhp,4.0,Jun 2016
18.9 kmpl,1197 cc,1200 kg,Petrol,Automatic,81.86 bhp,4.0,Jun 2018
16.47 kmpl,1198 cc,1055 kg,Petrol,Manual,73.9 bhp,3.0,Aug 2015
27.39 kmpl,1248 cc,960-985 kg,Diesel,Manual,74 bhp,4.0,Jun 2016
22.54 kmpl,1396 cc,1515 kg,Diesel,Manual,88.73 bhp,4.0,Jan 2014
16.47 kmpl,1198 cc,1030 kg,Petrol,Manual,73.9 bhp,3.0,Jun 2015
21.4 kmpl,1197 cc,865 kg,Petrol,Manual,83.1 bhp,4.0,Feb 2017
23.08 kmpl,1461 cc,1080 kg,Diesel,Manual,63.1 bhp,4.0,Apr 2015
