Registration Year,Insurance,Fuel,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2023.0,Unknown,,5.0,42143 - 60000,1,1199 - 1497,Manual,108 - 138,FWD,21 - 34,Turbocharged,101 - 121,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,MPFi,Yes,Manual,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1780 - 2230,1530 - 1640,178 - 307,2456 - 2550,Unknown,1150000.0,Not Applicable,Not Applicable,165 - 185,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Unknown,,5.0,42143 - 60000,1,1199 - 1497,Automatic,85 - 108,FWD,18 - 21,Standard,81 - 101,4400 - 6000,113 - 146,4000 - 4500,4.0,4.0,MPFi,No,Automatic,6.0,Not Applicable,Not Applicable,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Drum,3746 - 3995,1780 - 2230,1640 - 1995,178 - 307,2456 - 2550,Unknown,1250000.0,Not Applicable,Not Applicable,150 - 165,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Unknown,Petrol,5.0,27000 - 42143,1,1197 - 1199,Manual,85 - 108,FWD,18 - 21,Standard,81 - 101,4400 - 6000,113 - 146,2800 - 3500,3.0,4.0,CRDi,No,Manual,5.0,18 - 20,35 - 40,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,3746 - 3995,1710 - 1780,1495 - 1530,163 - 165,2456 - 2550,Unknown,700000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2025.0,Unknown,Diesel,5.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,AWD,17 - 18,Turbocharged,121 - 536,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,MPFi,Yes,Automatic,9.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,163 - 165,2456 - 2550,Unknown,9900000.0,25 - 27,35 - 37,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2025.0,Unknown,Diesel,5.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,AWD,21 - 34,Standard,121 - 536,4400 - 6000,242 - 750,2800 - 3500,6.0,4.0,CRDi,Yes,Automatic,9.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Tilt and Telescopic,Solid Disc,Drum,4420 - 5391,1780 - 2230,1495 - 1530,100 - 163,2650 - 3215,Unknown,,25 - 27,60 - 100,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2025.0,Unknown,Diesel,5.0,500 - 27000,1,1497 - 5461,Automatic,138 - 536,AWD,5 - 17,Turbocharged,121 - 536,3000 - 4400,242 - 750,1400 - 2800,4.0,4.0,MPFi,Yes,Automatic,9.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Solid Disc,Solid Disc,4420 - 5391,1780 - 2230,1640 - 1995,100 - 163,2456 - 2550,Unknown,,25 - 27,35 - 37,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Unknown,Petrol,7.0,500 - 27000,1,1199 - 1497,Automatic,138 - 536,FWD,5 - 17,Standard,121 - 536,4400 - 6000,242 - 750,3500 - 4000,4.0,4.0,Direct Injection,Yes,Automatic,7.0,7 - 17,43 - 93,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,4420 - 5391,1780 - 2230,1640 - 1995,163 - 165,2456 - 2550,Unknown,5600000.0,Not Applicable,Not Applicable,185 - 302,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2023.0,Third Party,Petrol,5.0,500 - 27000,1,796 - 1197,Automatic,108 - 138,FWD,18 - 21,Turbocharged,101 - 121,4400 - 6000,146 - 242,3500 - 4000,3.0,4.0,MPFi,No,Automatic,7.0,18 - 20,43 - 93,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,3746 - 3995,1710 - 1780,1530 - 1640,163 - 165,2456 - 2550,Unknown,1195000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2022.0,Unknown,,5.0,500 - 27000,1,796 - 1197,Automatic,108 - 138,FWD,17 - 18,Standard,101 - 121,4400 - 6000,146 - 242,4000 - 4500,3.0,4.0,Direct Injection,Yes,Automatic,6.0,Not Applicable,Not Applicable,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,3995 - 4420,1710 - 1780,1530 - 1640,178 - 307,2650 - 3215,1520 - 1755,1199000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
2024.0,Third Party,Petrol,5.0,500 - 27000,1,796 - 1197,Automatic,78 - 85,FWD,18 - 21,Standard,73 - 81,4400 - 6000,101 - 113,3500 - 4000,4.0,4.0,EFI,No,Automatic,5.0,18 - 20,35 - 40,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3746 - 3995,1647 - 1710,1530 - 1640,178 - 307,2400 - 2456,Unknown,890000.0,Not Applicable,Not Applicable,Unknown,0,No Battery,No Charging,No Charging,Not Applicable,Not Applicable,
