Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Transmission,Drive Type,Mileage,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Transmission Type,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port,Volume
2025.0,Unknown,Electric,5.0,2500,1,Automatic,RWD,23.84,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,1021000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13561853619.0
2024.0,Unknown,Electric,5.0,17300,1,Automatic,AWD,18.9,536.4,6000.0,745.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,188.0,2900.0,Unknown,358000.0,239,101.7,50.0,0.0,Not Applicable,Not Applicable,CCS-II,18245559168.0
2023.0,Unknown,Electric,5.0,19000,1,Automatic,AWD,30.61,536.4,6000.0,745.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,165.0,2900.0,Unknown,354000.0,239,101.7,50.0,0.0,Not Applicable,Not Applicable,CCS-II,18245559168.0
2025.0,Zero Dep,Electric,5.0,5300,1,Automatic,RWD,14.82,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,755000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,15470663362.0
2025.0,Zero Dep,Electric,5.0,5300,1,Automatic,RWD,14.53,282.0,6000.0,380.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,207.0,2775.0,Unknown,5975000.0,Unknown,79.0,1220.0,480.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,15470663362.0
2024.0,Unknown,Electric,5.0,17300,1,Automatic,AWD,16.95,536.4,6000.0,745.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,170.0,2900.0,Unknown,260000.0,239,101.7,50.0,0.0,Not Applicable,Not Applicable,CCS-II,18245559168.0
2021.0,Comprehensive,Electric,5.0,10584,2,Automatic,FWD,16.11,127.0,6000.0,245.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,205.0,2498.0,Unknown,750000.0,Unknown,30.2,60.0,549.6,PMSM (Permanent Magnet Synchronous Motor),Not Applicable,CCS-I,11613504738.0
2022.0,Unknown,Electric,5.0,50838,1,Automatic,FWD,20.85,141.04,6000.0,250.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,190.0,2498.0,Unknown,390000.0,Unknown,40.5,56.0,900.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,11685817968.0
2022.0,Unknown,Electric,5.0,50838,1,Automatic,FWD,17.4,141.04,6000.0,250.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Solid Disc,190.0,2498.0,Unknown,1450000.0,Unknown,40.5,56.0,900.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,11685817968.0
2024.0,Comprehensive,Electric,5.0,1800,1,Automatic,FWD,16.11,201.0,6000.0,310.0,4000.0,Automatic,MacPherson Strut,Standard/Other,Electric,Fixed,Ventilated Disc,Solid Disc,175.0,2720.0,2160.0,300000.0,Unknown,60.48,50.0,570.0,PMSM (Permanent Magnet Synchronous Motor),Blade Battery (LFP),CCS-II,13490296875.0
2024.0,Comprehensive,Electric,5.0,1800,1,Automatic,FWD,19.81,201.0,6000.0,310.0,4000.0,Automatic,MacPherson Strut,Standard/Other,Electric,Fixed,Ventilated Disc,Solid Disc,175.0,2720.0,2160.0,405000.0,Unknown,60.48,50.0,570.0,PMSM (Permanent Magnet Synchronous Motor),Blade Battery (LFP),CCS-II,13490296875.0
2023.0,Unknown,Electric,5.0,19900,1,Automatic,AWD,16.8,320.55,6000.0,605.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,165.0,2900.0,Unknown,650000.0,192,84.0,73.0,0.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13931473500.0
2023.0,Unknown,Electric,5.0,19900,1,Automatic,AWD,18.0,320.55,6000.0,605.0,4000.0,Automatic,MacPherson Strut,Multi-Link,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,165.0,2900.0,Unknown,369000.0,192,84.0,73.0,0.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,13931473500.0
2023.0,Unknown,Electric,5.0,13527,1,Automatic,FWD,18.9,73.75,6000.0,170.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,160.0,2450.0,Unknown,210000.0,Unknown,26.0,3599.0,564.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,10258671852.0
2023.0,Unknown,Electric,5.0,13527,1,Automatic,FWD,20.89,73.75,6000.0,170.0,4000.0,Automatic,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,170.0,2450.0,Unknown,1250000.0,Unknown,26.0,3599.0,564.0,PMSM (Permanent Magnet Synchronous Motor),Lithium-ion,CCS-II,10258671852.0
