Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Volume
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,518000.0,27.39,37.0,170,10526625250.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,530000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,1250000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,518000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,430999.0,25.2,42.0,155,10193472000.0
2014.0,Unknown,5.0,90000,2,2993,Automatic,RWD,17.0,Standard,258.0,4000.0,560.0,1500.0,4.0,CRDi,Yes,Automatic,8.0,BS IV,Standard/Other,Standard/Other,Power,Power Adjustable,Solid Disc,Solid Disc,152.0,3210.0,Unknown,165000.0,16.46,80.0,250,16556244138.0
2021.0,Comprehensive,5.0,44846,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,200000.0,27.39,37.0,170,10526625250.0
2017.0,Comprehensive,5.0,16370,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,170.0,2520.0,1430.0,559000.0,27.39,37.0,170,10526625250.0
2016.0,Comprehensive,5.0,20648,1,1248,Manual,FWD,27.39,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt and Telescopic,Solid Disc,Drum,170.0,2520.0,1430.0,455000.0,27.39,37.0,170,10526625250.0
2016.0,Unknown,5.0,160000,2,1248,Manual,FWD,25.2,Standard Brand Engine,74.0,4000.0,190.0,2000.0,4.0,CRDi,Yes,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,163.0,2450.0,1405.0,462000.0,25.2,42.0,155,10193472000.0
