Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Transmission Type,Gearbox,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2016.0,Comprehensive,CNG,7.0,59452,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,1250000.0,164,12269698200.0
2012.0,Comprehensive,CNG,5.0,50000,3,796,Manual,2WD,26.83,Standard,38.4,6200.0,62.0,3000.0,4.0,Manual,,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Power Adjustable,Solid Disc,Drum,160.0,2360.0,1140.0,844999.0,137,7526482500.0
2012.0,Comprehensive,CNG,5.0,50000,3,796,Manual,2WD,26.83,Standard,38.4,6200.0,62.0,3000.0,4.0,Manual,,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Power,Power Adjustable,Solid Disc,Drum,160.0,2360.0,1140.0,720000.0,137,7526482500.0
2015.0,Unknown,CNG,5.0,45716,1,998,Manual,FWD,31.79,Standard,58.2,6000.0,78.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,165.0,2425.0,1350.0,224000.0,150,8985600000.0
2015.0,Unknown,CNG,5.0,45716,1,998,Manual,FWD,31.79,Standard,58.2,6000.0,78.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Ventilated Disc,Drum,165.0,2425.0,1350.0,345000.0,150,8985600000.0
2019.0,Third Party,CNG,5.0,43348,2,1086,Manual,FWD,30.48,In-Line,58.0,5500.0,84.33,4500.0,3.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,180.0,2400.0,Unknown,150000.0,Unknown,9263982000.0
2021.0,Comprehensive,CNG,4.0,64190,1,998,Manual,FWD,31.2,Standard,58.33,5500.0,78.0,3500.0,4.0,Manual,5.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,184.0,2380.0,1170.0,819999.0,Unknown,8475003200.0
2019.0,Comprehensive,CNG,5.0,74813,1,998,Manual,FWD,26.6,Standard,58.16,6200.0,77.0,3500.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Standard/Other,Power,Collapsible/Fixed,Ventilated Disc,Drum,165.0,2400.0,1350.0,320000.0,137,9146858500.0
2017.0,Unknown,CNG,7.0,105000,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,1250000.0,164,12269698200.0
2017.0,Unknown,CNG,7.0,105000,1,1373,Manual,FWD,17.5,Standard,80.46,6000.0,112.0,4000.0,4.0,Manual,5.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,185.0,2740.0,Unknown,345000.0,164,12269698200.0
