Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2025.0,Unknown,5.0,10000,1,1199,Automatic,FWD,11.0,Standard,118.0,5500.0,170.0,4000.0,4.0,MPFi,No,Automatic,7.0,17.0,44.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,208.0,2560.0,Unknown,1200000.0,Unknown,12709892400.0
2023.0,Comprehensive,5.0,14000,1,1497,Automatic,2WD,14.0,Standard,113.18,6300.0,143.8,4500.0,4.0,MPFi,No,Automatic,6.0,14.0,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,120.0,2610.0,Unknown,1511000.0,195,12584595000.0
2018.0,Comprehensive,5.0,55967,1,998,Automatic,FWD,21.63,Standard,67.05,6000.0,90.0,3500.0,4.0,MPFi,No,Automatic,5.0,21.63,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2425.0,1250.0,364000.0,Unknown,9222720000.0
2025.0,Zero Dep,5.0,1700,1,1997,Automatic,AWD,27.39,Turbocharged,246.74,5500.0,365.0,4000.0,4.0,MPFi,Yes,Automatic,8.0,17.0,82.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Ventilated Disc,165.0,2445.0,2520.0,7650000.0,217,17180342400.0
2021.0,Unknown,5.0,80000,1,1497,Manual,FWD,19.49,Standard,113.18,6300.0,143.8,4500.0,4.0,MPFi,No,Manual,6.0,17.0,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,165.0,2610.0,Unknown,901000.0,Unknown,12584595000.0
2014.0,Unknown,5.0,160000,1,1198,Manual,FWD,18.0,V-Type,86.7,6000.0,109.0,4500.0,4.0,MPFi,No,Manual,5.0,18.0,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,165.0,2405.0,Unknown,360000.0,160,10088316000.0
2013.0,Unknown,5.0,60000,2,1197,Automatic,FWD,16.95,Standard,78.9,6000.0,111.8,4000.0,4.0,MPFi,No,Automatic,4.0,16.95,35.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Ventilated Disc,Drum,165.0,2380.0,Unknown,210000.0,Unknown,8863016250.0
2011.0,Third Party,5.0,66000,2,1497,Manual,FWD,17.0,In-Line,118.0,6600.0,146.0,4800.0,4.0,EFI,No,Manual,5.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,160.0,2550.0,Unknown,260000.0,Unknown,11088012000.0
2022.0,Unknown,5.0,60000,1,1199,Manual,FWD,19.33,Standard,86.83,6000.0,113.0,3300.0,4.0,MPFi,No,Manual,5.0,19.33,37.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2501.0,Unknown,819999.0,Unknown,10664731350.0
2019.0,Unknown,5.0,30000,1,1197,Manual,FWD,17.0,Standard,110.0,5000.0,200.0,3500.0,4.0,MPFi,Yes,Manual,6.0,17.0,42.0,BS IV,MacPherson Strut,Torsion/Twist Beam,Power,Collapsible/Fixed,Solid Disc,Solid Disc,180.0,2600.0,Unknown,819999.0,175,11836254165.0
