Registration Year,Insurance,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Power,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,No. of Cylinders,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Top Speed,Super Charge,Battery Capacity,Charging Time DC,Charging Time AC,Motor Type,Battery Type,Charging Port
2023.0,Unknown,Petrol,5.0,60000,1,1462,Automatic,101.64 bhp,FWD,19.8,Standard,101.64,6000.0,136.8,4400.0,4.0,4.0,Direct Injection,No,Automatic,6.0,19.8,48.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Ventilated Disc,Drum,3995.0,1790.0,1685.0,198.0,2500.0,Unknown,1250000.0,Not Applicable,Not Applicable,159,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Unknown,Petrol,5.0,30000,1,1199,Manual,86.79 bhp,FWD,19.33,Standard,86.79,6000.0,115.0,3250.0,3.0,4.0,CRDi,No,Manual,5.0,19.33,37.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Fixed,Solid Disc,Drum,3990.0,1755.0,1523.0,165.0,2501.0,Unknown,700000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2025.0,Unknown,Diesel,5.0,800,1,1993,Automatic,265.52 bhp,AWD,15.37,Turbocharged,265.52,4200.0,550.0,2200.0,4.0,4.0,MPFi,Yes,Automatic,9.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Solid Disc,Solid Disc,4924.0,2157.0,1795.0,165.0,2500.0,Unknown,9900000.0,27.39,37.0,230,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2025.0,Unknown,Diesel,5.0,1663,1,2925,Automatic,281.61 bhp,AWD,20.51,Standard,281.61,4600.0,600.0,3200.0,6.0,4.0,MPFi,No,Automatic,9.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Tilt and Telescopic,Solid Disc,Drum,5289.0,2109.0,1503.0,160.0,2850.0,Unknown,,27.39,76.0,250,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2025.0,Unknown,Diesel,5.0,500,1,1993,Automatic,265.52 bhp,AWD,16.8,Turbocharged,265.52,4200.0,550.0,2200.0,4.0,4.0,MPFi,Yes,Automatic,9.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Solid Disc,Solid Disc,4924.0,2157.0,1795.0,165.0,2500.0,Unknown,,27.39,37.0,230,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Unknown,Petrol,7.0,20000,1,1332,Automatic,160.92 bhp,FWD,17.5,Standard,160.92,5500.0,250.0,4000.0,4.0,4.0,Direct Injection,Yes,Automatic,7.0,9.7,52.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,4634.0,2020.0,1697.0,165.0,2540.0,Unknown,5600000.0,Not Applicable,Not Applicable,207,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Third Party,Petrol,5.0,5600,1,998,Automatic,118.41 bhp,FWD,17.01,Turbocharged,118.41,6000.0,172.0,4000.0,3.0,4.0,CRDi,No,Automatic,7.0,17.0,45.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,3995.0,1770.0,1617.0,165.0,2500.0,Unknown,1195000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2022.0,Unknown,Petrol,5.0,26800,1,999,Automatic,113.98 bhp,FWD,17.2,Standard,113.98,5500.0,178.0,4500.0,3.0,4.0,Direct Injection,Yes,Automatic,6.0,17.2,50.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Drum,4225.0,1760.0,1612.0,188.0,2651.0,1660.0,1199000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Third Party,Petrol,5.0,26905,1,1197,Automatic,81.8 bhp,FWD,19.2,Standard,81.8,6000.0,113.8,4000.0,4.0,4.0,MPFi,Yes,Automatic,5.0,19.2,37.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,3815.0,1710.0,1631.0,190.0,2450.0,Unknown,890000.0,Not Applicable,Not Applicable,Unknown,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2024.0,Unknown,Diesel,5.0,11000,1,1995,Automatic,187.74 bhp,4WD,16.78,Turbocharged,187.74,5200.0,400.0,2500.0,4.0,4.0,MPFi,Twin,Automatic,8.0,Not Applicable,Not Applicable,BS VI 2.0,Standard/Other,Standard/Other,Electric,Fixed,Ventilated Disc,Ventilated Disc,4708.0,2138.0,1676.0,180.0,2845.0,Unknown,6500000.0,16.55,65.0,231,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
2023.0,Comprehensive,Petrol,5.0,16000,1,1497,Automatic,113.18 bhp,2WD,14.0,Standard,113.18,6300.0,143.8,4500.0,4.0,4.0,MPFi,No,Automatic,6.0,14.0,50.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Solid Disc,4300.0,1790.0,1635.0,165.0,2610.0,Unknown,1748999.0,Not Applicable,Not Applicable,195,0,0.0,0.0,0.0,Not Applicable,Not Applicable,
