,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
593,Hyundai Creta,₹10.90 Lakh,Jun 2023,"69,000 Kms",First Owner,Diesel,Manual,2WD,1493 cc,113.98 bhp,18 kmpl,4.0,Yes,5 Seats,1430 kg,,,50 Litres,
594,Maruti Suzuki Celerio,₹3.25 Lakh,Mar 2015,"73,000 Kms",Second Owner,Petrol,Automatic,FWD,998 cc,67.04 bhp,23.1 kmpl,3.0,No,5 Seats,840 kg,120 mm,35 Litres,,
595,Renault Duster,₹3.61 Lakh,Sept 2018,"77,577 Kms",First Owner,,Manual,FWD,1498 cc,104.5 bhp,14.19 kmpl,4.0,No,5 Seats,1110 kg,205 mm,50 Litres,,
596,Hyundai Verna,₹5.05 Lakh,Aug 2015,"1,04,380 Kms",Third Owner,Petrol,Manual,FWD,1591 cc,121.3 bhp,17.01 kmpl,4.0,No,5 Seats,1198 kg,170 mm,43 Litres,,
597,Tata Tiago,₹4.97 Lakh,Aug 2022,"33,404 Kms",First Owner,Petrol,Automatic,FWD,1199 cc,85 bhp,19 kmpl,3.0,,5 Seats,,170 mm,35 Litres,,
598,Tata Tiago,₹4.01 Lakh,Feb 2023,"19,378 Kms",First Owner,Petrol,Manual,,1199 cc,84.82 bhp,19.01 kmpl,3.0,,5 Seats,,170 mm,35 Litres,,
599,Maruti Suzuki Alto 800,₹1.80 Lakh,Apr 2014,"60,117 Kms",Second Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
600,Renault KWID,₹2.75 Lakh,Oct 2017,"50,000 Kms",First Owner,Petrol,Automatic,FWD,999 cc,67 bhp,23.01 kmpl,3.0,No,5 Seats,750 kg,180 mm,,,
601,Datsun GO,₹1.71 Lakh,Feb 2019,"45,073 Kms",First Owner,Petrol,Manual,FWD,1198 cc,67.05 bhp,19.02 kmpl,3.0,No,5 Seats,886 kg,,35 Litres,,
602,Toyota Innova Crysta,₹16.50 Lakh,Sept 2018,"1,17,000 Kms",First Owner,Diesel,Manual,RWD,2393 cc,147.8 bhp,,4.0,Yes,7 Seats,1855 kg,,,55 Litres,
603,Tata Tigor EV,₹6.90 Lakh,Dec 2021,"38,000 Kms",First Owner,,Automatic,,,73.75 bhp,,,,5 Seats,1235 kg,172 mm,,,
604,Mahindra Scorpio,₹7.70 Lakh,Oct 2016,"59,000 Kms",First Owner,,Manual,RWD,2179 cc,120 bhp,15.4 kmpl,4.0,Yes,7 Seats,1645 kg,180 mm,,,
605,Maruti Suzuki Ertiga,₹3.98 Lakh,Jun 2015,"1,11,486 Kms",Third Owner,Diesel,Manual,FWD,1248 cc,88.76 bhp,20.77 kmpl,4.0,Yes,7 Seats,1235 kg,185 mm,,45 Litres,
606,Mahindra Scorpio,₹4.50 Lakh,Jul 2014,"1,32,000 Kms",Second Owner,,Manual,2 WD,2179 cc,120 bhp,12.05 kmpl,4.0,Yes,8 Seats,1940 kg,180 mm,,60 Litres,
607,Mahindra Scorpio,₹3.85 Lakh,May 2013,"1,64,000 Kms",Second Owner,,Manual,FWD,2523 cc,75 bhp,14 kmpl,4.0,Yes,8 Seats,1870 kg,180 mm,,55 Litres,
608,Mahindra XUV 3XO,₹11.90 Lakh,Jul 2024,"24,000 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,128.73 bhp,18.2 kmpl,3.0,Yes,5 Seats,,,42 Litres,,
609,Mahindra XUV500,₹4.50 Lakh,Oct 2012,"1,29,000 Kms",Second Owner,Diesel,Manual,FWD,2179 cc,140 bhp,15.1 kmpl,4.0,Yes,7 Seats,1940 kg,,,70 Litres,
610,Maruti Suzuki Alto K10,₹4.34 Lakh,Jul 2023,"13,828 Kms",First Owner,Petrol,Manual,FWD,998 cc,65.71 bhp,24.39 kmpl,3.0,,5 Seats,,,27 Litres,,
611,Maruti Suzuki Swift,₹4.66 Lakh,Dec 2018,"41,491 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,88.50 bhp,22.56 kmpl,4.0,,5 Seats,875-905 kg,,37 Litres,,
612,Renault Triber,₹4.34 Lakh,Oct 2021,"45,081 Kms",First Owner,Petrol,Automatic,,999 cc,71.01 bhp,18.2 kmpl,3.0,,7 Seats,947 kg,182 mm,40 Litres,,
613,Maruti Suzuki Ertiga,₹9.15 Lakh,Jun 2022,"62,000 Kms",First Owner,CNG,Manual,2WD,1462 cc,86.63 bhp,26.11 km/kg,4.0,,7 Seats,1250-1255 kg,,,,60 Litres
614,Maruti Suzuki Wagon R,₹2.57 Lakh,Apr 2014,"55,764 Kms",First Owner,Petrol,Manual,,998 cc,65.71 bhp,24.35 kmpl,3.0,,5 Seats,810-835 kg,,32 Litres,,
615,Toyota Fortuner,₹14 Lakh,Mar 2016,"80,000 Kms",First Owner,,Automatic,4WD,2982 cc,168.5 bhp,12.55 kmpl,4.0,Yes,7 Seats,2000 kg,220 mm,,80 Litres,
616,Mahindra XUV700,₹13.62 Lakh,Mar 2022,"39,740 Kms",First Owner,Petrol,Manual,FWD,1999 cc,197 bhp,15 kmpl,4.0,Yes,5 Seats,,,60 Litres,,
617,Hyundai i20,₹5.93 Lakh,Sept 2024,"8,766 Kms",First Owner,Petrol,Manual,FWD,1197 cc,82 bhp,16 kmpl,4.0,,5 Seats,,,37 Litres,,
618,Maruti Suzuki XL6,₹9.75 Lakh,Mar 2021,"49,000 Kms",First Owner,Petrol,Automatic,FWD,1462 cc,103.2 bhp,,4.0,,6 Seats,1190 kg,,45 Litres,,
619,Tata Tiago,₹4.27 Lakh,Apr 2022,"63,254 Kms",First Owner,CNG,Manual,,1199 cc,72 bhp,26.49 km/kg,3.0,,5 Seats,1030 kg,168 mm,,,60 Litres
620,Tata Tiago,₹4.15 Lakh,May 2022,"57,149 Kms",First Owner,CNG,Manual,,1199 cc,72 bhp,26.49 km/kg,3.0,,5 Seats,,168 mm,,,60 Litres
621,Chevrolet Tavera,₹1.15 Lakh,Nov 2006,"2,81,000 Kms",Third Owner,Diesel,Manual,2WD,2499 cc,,12.2 kmpl,4.0,,10 Seats,"1,585 kg",184 mm,,55 Litres,
622,Tata Safari Storme,₹8.25 Lakh,Mar 2019,"84,000 Kms",First Owner,,Manual,RWD,2179 cc,153.86 bhp,14.1 kmpl,4.0,Yes,7 Seats,1570 kg,200 mm,,63 Litres,
623,Tata Nexon EV,₹9.50 Lakh,Apr 2021,"25,000 Kms",First Owner,,Automatic,,,127 bhp,,,,5 Seats,1400 kg,205 mm,,,
624,Volkswagen Vento,₹5.15 Lakh,Sept 2016,"59,967 Kms",Second Owner,Petrol,Automatic,FWD,1197 cc,103.2 bhp,18.19 kmpl,4.0,Yes,5 Seats,1179 kg,163 mm,55 Litres,,
625,Tata Tiago,₹4.18 Lakh,Mar 2022,"74,109 Kms",First Owner,CNG,Manual,,1199 cc,72 bhp,26.49 km/kg,3.0,,5 Seats,1030 kg,168 mm,,,60 Litres
626,Tata Safari Storme,₹4.05 Lakh,Oct 2013,"98,000 Kms",Second Owner,,Manual,FWD,2179 cc,138.1 bhp,14 kmpl,4.0,Yes,7 Seats,2000 kg,200 mm,,55 Litres,
627,Mahindra Thar,₹8.95 Lakh,Dec 2021,"58,423 Kms",First Owner,,Automatic,4X4,1997 cc,150 bhp,8 kmpl,4.0,Yes,4 Seats,1825 kg,226 mm,57 Litres,,
628,BMW 3 Series,₹13.21 Lakh,Jan 2014,"67,000 Kms",First Owner,Diesel,Automatic,RWD,1995 cc,184 bhp,,4.0,Yes,5 Seats,1500 kg,157 mm,,60 Litres,
629,Hyundai Santro Xing,₹1.75 Lakh,Dec 2011,"56,000 Kms",First Owner,Petrol,Manual,,1086 cc,62 bhp,,4.0,No,5 Seats,854 kg,164 mm,35 Litres,,
630,Maruti Suzuki Alto 800,₹2.89 Lakh,Jun 2018,"43,117 Kms",First Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
631,Skoda Superb,₹29.50 Lakh,Sept 2023,"44,000 Kms",First Owner,Petrol,Automatic,FWD,1984 cc,187.74 bhp,15.1 kmpl,4.0,Yes,5 Seats,1579 kg,156 mm,66 Litres,,
632,Maruti Suzuki Alto K10,₹5.18 Lakh,Jun 2024,"12,523 Kms",First Owner,CNG,Manual,FWD,998 cc,55.92 bhp,33.85 km/kg,3.0,,4 Seats,,,,,55 Litres
633,Hyundai Aura,₹5.08 Lakh,Aug 2021,"13,258 Kms",First Owner,Petrol,Manual,,1197 cc,81.86 bhp,20.5 kmpl,4.0,No,5 Seats,1070 kg,,,,
634,Maruti Suzuki Ertiga,₹9.25 Lakh,May 2021,"62,000 Kms",First Owner,Petrol,Automatic,FWD,1462 cc,103.26 bhp,17.99 kmpl,4.0,No,7 Seats,1135-1170 kg,,45 Litres,,
635,BMW 5 Series,₹10.75 Lakh,Jan 2013,"45,000 Kms",Second Owner,Diesel,Automatic,RWD,1995 cc,218 bhp,,4.0,Yes,5 Seats,"1,615 kg",158 mm,,70 Litres,
636,Hyundai Grand i10 Nios,₹4.95 Lakh,May 2021,"71,000 Kms",Second Owner,Petrol,Manual,,1197 cc,81.86 bhp,20.7 kmpl,4.0,No,5 Seats,1100 kg,,37 Litres,,
637,Hyundai Grand i10,₹4.14 Lakh,Jul 2017,"63,264 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
638,Skoda Superb,₹5.62 Lakh,Jul 2021,"1,23,883 Kms",Second Owner,Petrol,Manual,FWD,1798 cc,157.8 bhp,13.1 kmpl,4.0,Yes,5 Seats,1533 kg,158 mm,60 Litres,,
639,Tata Tiago,₹3.52 Lakh,2017,"1,05,000 Kms",First Owner,Diesel,Manual,FWD,1047 cc,69 bhp,27.28 kmpl,3.0,Yes,5 Seats,1080 kg,170 mm,,35 Litres,
640,Hyundai Grand i10,₹3.13 Lakh,Dec 2013,"47,200 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
641,Renault KWID,₹3.14 Lakh,Feb 2020,"56,959 Kms",First Owner,Petrol,Manual,FWD,999 cc,67 bhp,21.74 kmpl,3.0,No,5 Seats,730 kg,184 mm,28 Litres,,
642,Maruti Suzuki Alto 800,₹2.50 Lakh,Sept 2017,"72,000 Kms",First Owner,Petrol,Manual,FWD,796 cc,47.3 bhp,24.7 kmpl,3.0,No,5 Seats,720 kg,160 mm,35 Litres,,
643,Hyundai Grand i10,₹3.75 Lakh,Oct 2016,"52,680 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
644,Honda WR-V,₹5.12 Lakh,Sept 2017,"50,020 Kms",Second Owner,,Manual,FWD,1199 cc,88.7 bhp,17.5 kmpl,4.0,No,5 Seats,1103 kg,188 mm,40 Litres,,
645,Maruti Suzuki Swift Dzire,₹3.26 Lakh,Mar 2013,"83,716 Kms",First Owner,Petrol,Manual,FWD,1197 cc,83.14 bhp,20.85 kmpl,4.0,No,5 Seats,945 kg,170 mm,42 Litres,,
646,Hyundai Grand i10,₹4.62 Lakh,Dec 2016,"42,194 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,82 bhp,18.9 kmpl,4.0,No,5 Seats,935 kg,165 mm,43 Litres,,
647,Hyundai Xcent,₹5.25 Lakh,Jul 2018,"39,140 Kms",First Owner,Petrol,Manual,,,,,4.0,,,1120 kg,,,,
648,Hyundai Grand i10,₹4.31 Lakh,Jul 2017,"75,708 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1160 kg,165 mm,43 Litres,,
649,Hyundai Grand i10,₹4 Lakh,Aug 2017,"84,513 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
650,Maruti Suzuki Celerio,₹3.60 Lakh,Sept 2018,"50,000 Kms",First Owner,Petrol,Manual,FWD,998 cc,67.04 bhp,23.1 kmpl,3.0,No,5 Seats,825 kg,165 mm,35 Litres,,
651,Ford Fiesta,₹7.37 Lakh,Mar 2021,"62,014 Kms",First Owner,Petrol,Manual,2wd,1499 cc,,17 kmpl,4.0,No,5 Seats,1117 kg,156 mm,43 Litres,,
652,Hyundai Grand i10 Nios,₹6.50 Lakh,Nov 2022,"28,000 Kms",First Owner,Petrol,Manual,,1197 cc,81.86 bhp,20.7 kmpl,4.0,No,5 Seats,1160 kg,,37 Litres,,
653,Maruti Suzuki Swift Dzire,₹6.35 Lakh,Jul 2021,"56,000 Kms",First Owner,Petrol,Manual,,1197 cc,88.50 bhp,22.41 kmpl,4.0,,5 Seats,880-915 kg,,37 Litres,,
654,Maruti Suzuki Ertiga,₹5.66 Lakh,May 2017,"64,066 Kms",First Owner,Diesel,Manual,FWD,1248 cc,88.5 bhp,24.52 kmpl,4.0,Yes,7 Seats,1260 kg,185 mm,,45 Litres,
655,Maruti Suzuki Swift,₹3.48 Lakh,Jun 2014,"48,878 Kms",First Owner,Petrol,Manual,FWD,1197 cc,80.46 bhp,24.8 kmpl,3.0,No,5 Seats,920 kg,163 mm,37 Litres,,
