,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
784,Renault KWID,₹2.38 Lakh,Mar 2017,"1,01,618 Kms",First Owner,Petrol,Manual,FWD,799 cc,53.3 bhp,25.17 kmpl,3.0,No,5 Seats,710 kg,180 mm,28 Litres,,
785,Maruti Suzuki Alto 800,₹2.72 Lakh,Sept 2020,"45,605 Kms",Second Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
786,Hyundai i10,₹2.65 Lakh,May 2015,"99,286 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
787,Hyundai EON,₹1.77 Lakh,Jul 2017,"1,10,624 Kms",First Owner,Petrol,Manual,FWD,814 cc,55.2 bhp,21.1 kmpl,3.0,No,5 Seats,880 kg,170 mm,32 Litres,,
788,Hyundai i20,₹2.34 Lakh,Nov 2012,"42,075 Kms",First Owner,Petrol,Manual,FWD,1197 cc,,17 kmpl,4.0,No,5 Seats,1020 kg,165 mm,45 Litres,,
789,Datsun RediGO,₹1.74 Lakh,Apr 2022,"39,029 Kms",First Owner,Petrol,Manual,FWD,799 cc,53.64 bhp,20.71 kmpl,3.0,No,5 Seats,750 kg,187 mm,28 Litres,,
790,Honda Amaze,₹2.15 Lakh,May 2013,"1,32,088 Kms",First Owner,Diesel,Manual,FWD,1498 cc,98.63 bhp,24.7 kmpl,4.0,Yes,5 Seats,1029 kg,,,35 Litres,
791,Volkswagen Polo,₹2.70 Lakh,Aug 2013,"97,000 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,74 bhp,16.47 kmpl,3.0,No,5 Seats,1049 kg,165 mm,45 Litres,,
792,Maruti Suzuki Swift,₹3.20 Lakh,Apr 2012,"72,677 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,855-885 kg,163 mm,37 Litres,,
793,Maruti Suzuki Swift,₹3.80 Lakh,May 2016,"1,16,687 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.21 kmpl,4.0,No,5 Seats,855-885 kg,163 mm,37 Litres,,
794,Renault KWID,₹4.58 Lakh,Feb 2025,"21,211 Kms",First Owner,Petrol,Manual,FWD,999 cc,67.06 bhp,21.46 kmpl,3.0,,5 Seats,,184 mm,28 Litres,,
795,Maruti Suzuki Baleno,₹5.19 Lakh,Mar 2019,"79,882 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,27.39 kmpl,4.0,Yes,5 Seats,985 kg,170 mm,,37 Litres,
796,Ford Ecosport,₹5.77 Lakh,Feb 2018,"75,722 Kms",First Owner,Petrol,Automatic,FWD,1496 cc,120.69 bhp,14.7 kmpl,3.0,No,5 Seats,1300 kg,,52 Litres,,
797,Hyundai Santro,₹4.52 Lakh,Oct 2019,"51,253 Kms",First Owner,CNG,Manual,FWD,1086 cc,59.17 bhp,30.48 km/kg,4.0,No,5 Seats,1070 kg,,,,60 Litres
798,Ford Ecosport,₹4.60 Lakh,Jul 2016,"1,06,872 Kms",Second Owner,,Manual,FWD,1498 cc,98.59 bhp,22.77 kmpl,4.0,Yes,5 Seats,1240 kg,200 mm,,52 Litres,
799,Maruti Suzuki Swift Dzire,₹5.31 Lakh,Sept 2018,"75,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74.02 bhp,28.4 kmpl,4.0,Yes,5 Seats,955-990 kg,163 mm,,37 Litres,
800,Maruti Suzuki Swift Dzire,₹3.45 Lakh,Dec 2015,"66,000 Kms",Second Owner,Petrol,Manual,FWD,1197 cc,83.14 bhp,20.85 kmpl,4.0,No,5 Seats,945 kg,170 mm,42 Litres,,
801,Honda Amaze,₹4.60 Lakh,Feb 2020,"1,08,842 Kms",First Owner,Petrol,Manual,FWD,1199 cc,88.76 bhp,18.6 kmpl,4.0,No,5 Seats,917 kg,,35 Litres,,
802,Honda City,₹5.50 Lakh,Aug 2015,"50,000 Kms",First Owner,Petrol,Manual,FWD,1497 cc,117.3 bhp,17.8 kmpl,4.0,No,5 Seats,1049 kg,165 mm,40 Litres,,
803,Maruti Suzuki Wagon R,₹4.90 Lakh,May 2019,"38,000 Kms",First Owner,Petrol,Automatic,FWD,998 cc,67 bhp,20.51 kmpl,3.0,No,5 Seats,890 kg,165 mm,35 Litres,,
804,Hyundai i20,₹5.95 Lakh,Dec 2017,"60,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
805,Honda Amaze,₹3.50 Lakh,Mar 2017,"90,481 Kms",Second Owner,Petrol,Automatic,FWD,1199 cc,88.76 bhp,18.3 kmpl,4.0,No,5 Seats,945 kg,,35 Litres,,
806,Volkswagen Virtus,₹8.30 Lakh,Jun 2023,"50,814 Kms",Second Owner,Petrol,Manual,FWD,999 cc,113.98 bhp,19.4 kmpl,3.0,Yes,5 Seats,1210 kg,179 mm,45 Litres,,
807,Skoda Octavia,₹8.37 Lakh,Sept 2015,"1,07,702 Kms",Second Owner,Diesel,Automatic,FWD,1968 cc,141 bhp,19.3 kmpl,4.0,Yes,5 Seats,1395 kg,155 mm,,50 Litres,
808,Skoda Octavia,₹8.29 Lakh,May 2018,"1,47,902 Kms",First Owner,Diesel,Automatic,FWD,1968 cc,141 bhp,19.5 kmpl,4.0,Yes,5 Seats,1395 kg,110 mm,,50 Litres,
809,Hyundai Creta,₹7.65 Lakh,Oct 2017,"65,000 Kms",First Owner,,Manual,FWD,1396 cc,88.7 bhp,21.38 kmpl,4.0,No,5 Seats,1260 kg,190 mm,,55 Litres,
810,Hyundai Verna,₹7.45 Lakh,Aug 2018,"90,000 Kms",Second Owner,Diesel,Automatic,FWD,1582 cc,126.2 bhp,22 kmpl,4.0,Yes,5 Seats,1285 kg,165 mm,,45 Litres,
811,Hyundai Grand i10 Nios,₹6.45 Lakh,Aug 2021,"55,000 Kms",First Owner,CNG,Manual,,1197 cc,68.05 bhp,24 km/kg,4.0,No,5 Seats,1100 kg,,,,60 Litres
812,Honda City,₹15.66 Lakh,Jan 2023,"8,120 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,,16.4 kmpl,4.0,No,5 Seats,1085 kg,160 mm,,,
813,Toyota Innova Crysta,₹18.50 Lakh,Oct 2019,"67,000 Kms",First Owner,Diesel,Manual,RWD,2393 cc,147.51 bhp,,7.0,Yes,7 Seats,1860 kg,,,55 Litres,
814,Tata Harrier,₹14 Lakh,May 2022,"66,992 Kms",First Owner,Diesel,Manual,,1956 cc,167.67 bhp,16.35 kmpl,4.0,Yes,5 Seats,1725 kg,,,50 Litres,
815,Kia Seltos,₹10.52 Lakh,Oct 2022,"37,279 Kms",First Owner,Petrol,Manual,2WD,1497 cc,113.42 bhp,17 kmpl,4.0,No,5 Seats,,,50 Litres,,
816,Honda Elevate,₹14.90 Lakh,Oct 2024,"4,000 Kms",First Owner,Petrol,Automatic,FWD,1498 cc,119 bhp,16.92 kmpl,4.0,,5 Seats,1213 kg,,40 Litres,,
817,Hyundai Verna,₹11.50 Lakh,2024,"25,000 Kms",First Owner,Petrol,Manual,FWD,1497 cc,113.18 bhp,18.6 kmpl,4.0,No,5 Seats,,,45 Litres,,
818,Hyundai Verna,₹10.99 Lakh,Jul 2023,"28,000 Kms",First Owner,Petrol,Automatic,,1497 cc,113.18 bhp,18.45 kmpl,4.0,,5 Seats,1200 kg,,45 Litres,,
819,Toyota Fortuner,₹21.50 Lakh,May 2017,"1,85,000 Kms",First Owner,,Manual,RWD,2694 cc,163.7 bhp,10.01 kmpl,4.0,No,7 Seats,2160 kg,220 mm,80 Litres,,
820,Honda City,₹9.27 Lakh,Jan 2023,"25,224 Kms",First Owner,Petrol,Manual,FWD,1497 cc,,17 kmpl,4.0,No,5 Seats,1100 kg,160 mm,42 Litres,,
821,Hyundai i20,₹8.27 Lakh,Feb 2024,"7,883 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
822,Hyundai Creta,₹6.10 Lakh,Feb 2017,"73,000 Kms",Third Owner,,Manual,FWD,1396 cc,88.7 bhp,21.38 kmpl,4.0,No,5 Seats,1260 kg,190 mm,,55 Litres,
823,Hyundai i10,₹2.75 Lakh,2015,"1,31,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
824,Citroen eC3,₹8 Lakh,2023,"70,000 Kms",First Owner,,Automatic,FWD,,56.21 bhp,,,,5 Seats,1316 kg,,,,
825,Skoda Kushaq,₹6.73 Lakh,Jun 2023,"65,390 Kms",First Owner,Petrol,Manual,FWD,999 cc,113.98 bhp,19.76 kmpl,3.0,Yes,5 Seats,1193-1248 kg,,50 Litres,,
826,Hyundai Venue,₹9 Lakh,Aug 2024,"20,200 Kms",First Owner,Petrol,Manual,FWD,998 cc,118.35 bhp,18.27 kmpl,3.0,Yes,5 Seats,1340 kg,,45 Litres,,
827,Hyundai Venue,₹7.90 Lakh,Jun 2019,"55,000 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118.35 bhp,18.15 kmpl,3.0,Yes,5 Seats,1440 kg,,45 Litres,,
828,Hyundai Venue,₹6.99 Lakh,Sept 2019,"68,000 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118.35 bhp,18.15 kmpl,3.0,Yes,5 Seats,1440 kg,,45 Litres,,
829,Hyundai Venue,₹7.25 Lakh,Dec 2019,"50,000 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118.35 bhp,18.15 kmpl,3.0,Yes,5 Seats,1440 kg,,45 Litres,,
830,Hyundai Aura,₹6.15 Lakh,Jul 2021,"46,000 Kms",First Owner,Petrol,Manual,,1197 cc,81.86 bhp,20.5 kmpl,4.0,No,5 Seats,1050 kg,,,,
831,Hyundai Creta,₹7.90 Lakh,Apr 2018,"65,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.7 bhp,22.1 kmpl,4.0,No,5 Seats,1240 kg,,,,
832,Renault KWID,₹2.73 Lakh,Mar 2019,"30,531 Kms",First Owner,Petrol,Manual,FWD,999 cc,67 bhp,21.74 kmpl,3.0,No,5 Seats,730 kg,184 mm,28 Litres,,
833,Renault KWID,₹1.72 Lakh,May 2016,"81,528 Kms",First Owner,Petrol,Manual,,799 cc,53.26 bhp,22.25 kmpl,3.0,,5 Seats,690 kg,184 mm,28 Litres,,
834,Hyundai i20,₹2.54 Lakh,May 2012,"48,311 Kms",First Owner,Petrol,Manual,FWD,1197 cc,,17 kmpl,4.0,No,5 Seats,1020 kg,165 mm,45 Litres,,
835,Hyundai i10,₹2.69 Lakh,Feb 2013,"76,520 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
836,Renault KWID,₹2.50 Lakh,May 2018,"38,000 Kms",First Owner,Petrol,Manual,FWD,999 cc,67 bhp,23.01 kmpl,3.0,No,5 Seats,710 kg,180 mm,,,
837,Honda Brio,₹2 Lakh,Mar 2015,"59,506 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,18.5 kmpl,4.0,No,5 Seats,930 kg,165 mm,35 Litres,,
838,Tata Tiago,₹2.95 Lakh,Jun 2018,"81,000 Kms",Second Owner,Diesel,Manual,FWD,1047 cc,69 bhp,27.28 kmpl,3.0,Yes,5 Seats,1050 kg,165 mm,,35 Litres,
839,Maruti Suzuki Swift,₹3.78 Lakh,Oct 2016,"1,13,064 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,28.4 kmpl,4.0,Yes,5 Seats,960 kg,163 mm,,37 Litres,
840,Tata Tigor,₹5.27 Lakh,Apr 2022,"1,16,882 Kms",First Owner,Petrol,Manual,FWD,1199 cc,84 bhp,20.3 kmpl,3.0,No,5 Seats,1052 kg,170 mm,35 Litres,,
841,Ford Figo,₹5.41 Lakh,Nov 2021,"42,433 Kms",First Owner,Petrol,Automatic,FWD,1194 cc,95.48 bhp,16 kmpl,3.0,,5 Seats,1081-1094 kg,,42 Litres,,
842,Hyundai i20,₹5.35 Lakh,Sept 2016,"47,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.83 bhp,18.6 kmpl,4.0,No,5 Seats,1066 kg,170 mm,45 Litres,,
843,i VTEC CVT VX,₹4.80 Lakh,Nov 2015,"35,915 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,117.3 bhp,18 kmpl,4.0,No,5 Seats,1085 kg,165 mm,40 Litres,,
844,Honda Amaze,₹5.60 Lakh,Jul 2020,"37,000 Kms",First Owner,Petrol,Manual,FWD,1199 cc,88.76 bhp,18.6 kmpl,4.0,No,5 Seats,905 kg,,35 Litres,,
845,Maruti Suzuki Wagon R,₹4.70 Lakh,2020,"31,500 Kms",First Owner,Petrol,Automatic,FWD,1197 cc,81.80 bhp,20.52 kmpl,4.0,No,5 Seats,830-845 kg,,32 Litres,,
846,Toyota Innova Crysta,₹12.59 Lakh,Jul 2016,"95,708 Kms",First Owner,Diesel,Manual,,2393 cc,147.51 bhp,,4.0,,8 Seats,,,,55 Litres,
847,Hyundai Verna,₹13.21 Lakh,May 2024,"21,130 Kms",First Owner,Petrol,Manual,FWD,1482 cc,157.57 bhp,20 kmpl,4.0,Yes,5 Seats,,,45 Litres,,
848,Tata Harrier,₹10.40 Lakh,Aug 2021,"77,250 Kms",First Owner,Diesel,Manual,,1956 cc,167.67 bhp,16.35 kmpl,4.0,Yes,5 Seats,1675 kg,,,50 Litres,
849,Volkswagen Taigun,₹14.50 Lakh,Dec 2023,"8,000 Kms",First Owner,,Automatic,FWD,999 cc,113.98 bhp,17.23 kmpl,3.0,Yes,5 Seats,1255 kg,188 mm,50 Litres,,
850,Kia Sonet,₹12.50 Lakh,Mar 2024,"7,000 Kms",First Owner,Diesel,Manual,FWD,1493 cc,114 bhp,24.1 kmpl,4.0,Yes,5 Seats,,,,45 Litres,
851,Kia Seltos,₹12.50 Lakh,2022,"80,000 Kms",First Owner,Diesel,Manual,FWD,1493 cc,113.43 bhp,20.8 kmpl,4.0,Yes,5 Seats,1535 kg,,,50 Litres,
852,Volkswagen Virtus,₹8.76 Lakh,Jun 2023,"86,767 Kms",First Owner,Petrol,Automatic,FWD,999 cc,113.98 bhp,18.12 kmpl,3.0,Yes,5 Seats,1224 kg,179 mm,45 Litres,,
853,Honda City,₹9.19 Lakh,Feb 2023,"49,515 Kms",First Owner,Petrol,Manual,FWD,1497 cc,,17 kmpl,4.0,No,5 Seats,1100 kg,160 mm,42 Litres,,
854,Kia Sonet,₹8.45 Lakh,Oct 2023,"39,918 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118.36 bhp,18.2 kmpl,3.0,Yes,5 Seats,1245 kg,,45 Litres,,
855,Hyundai Venue,₹7.44 Lakh,Aug 2019,"47,446 Kms",First Owner,Diesel,Manual,FWD,1498 cc,98.6 bhp,23.7 kmpl,4.0,Yes,5 Seats,1360 kg,,,45 Litres,
856,Kia Seltos,₹9.29 Lakh,Oct 2020,"70,239 Kms",Second Owner,Petrol,Automatic,FWD,1353 cc,138.08 bhp,16.5 kmpl,4.0,Yes,5 Seats,1535 kg,,50 Litres,,
857,Hyundai Creta,₹7.90 Lakh,Nov 2017,"72,000 Kms",First Owner,,Manual,FWD,1582 cc,126.2 bhp,19.67 kmpl,4.0,Yes,5 Seats,1300 kg,190 mm,,55 Litres,
858,MG Hector Plus,₹15.90 Lakh,Apr 2023,"28,000 Kms",First Owner,Diesel,Manual,,1956 cc,167.67 bhp,16.65 kmpl,4.0,YES,6 Seats,1860 kg,,,60 Litres,
859,Kia Seltos,₹8.50 Lakh,2020,"88,000 Kms",First Owner,Petrol,Manual,FWD,1497 cc,113.43 bhp,16.8 kmpl,4.0,No,5 Seats,1404 kg,,50 Litres,,
860,Hyundai Creta,₹7.40 Lakh,Mar 2016,"1,25,000 Kms",First Owner,,Manual,FWD,1582 cc,126.2 bhp,19.67 kmpl,4.0,Yes,5 Seats,1280 kg,190 mm,,55 Litres,
861,Toyota Innova,₹7 Lakh,Oct 2013,"85,000 Kms",First Owner,Diesel,Manual,RWD,2494 cc,100.6 bhp,,4.0,Yes,7 Seats,1675 kg,176 mm,,55 Litres,
862,Audi Q5,₹55 Lakh,2023,"18,000 Kms",First Owner,Petrol,Automatic,AWD,1984 cc,245.59 bhp,13.47 kmpl,4.0,,5 Seats,1970 kg,,,,
863,Hyundai Creta,₹11.04 Lakh,Apr 2022,"83,875 Kms",Second Owner,Petrol,Automatic,,1397 cc,138.12 bhp,11 kmpl,4.0,Yes,5 Seats,1465 kg,,50 Litres,,
864,Kia Seltos,₹10.12 Lakh,Nov 2019,"1,03,887 Kms",First Owner,Diesel,Automatic,FWD,1493 cc,113.43 bhp,,4.0,Yes,5 Seats,1468 kg,,,50 Litres,
865,Hyundai Verna,₹10.70 Lakh,Jul 2021,"48,402 Kms",First Owner,Petrol,Automatic,,998 cc,118.41 bhp,19.2 kmpl,3.0,Yes,5 Seats,1260 kg,,45 Litres,,
866,Kia Seltos,₹11.50 Lakh,Jul 2023,"39,263 Kms",First Owner,Petrol,Automatic,2WD,1497 cc,113.42 bhp,17.7 kmpl,4.0,No,5 Seats,,,50 Litres,,
867,Hyundai Verna,₹10.89 Lakh,Jun 2021,"41,492 Kms",First Owner,Petrol,Automatic,FWD,1591 cc,121.4 bhp,17.1 kmpl,4.0,No,5 Seats,1198 kg,170 mm,43 Litres,,
868,Toyota Innova Crysta,₹14.28 Lakh,Nov 2019,"75,344 Kms",Second Owner,Diesel,Manual,RWD,2393 cc,147.51 bhp,,4.0,Yes,7 Seats,,,,55 Litres,
869,Mercedes-Benz GLE,₹64.75 Lakh,Nov 2021,"33,000 Kms",First Owner,Diesel,Automatic,AWD,1950 cc,241.38 bhp,,4.0,Yes,5 Seats,2150 kg,200 mm,,93 Litres,
870,Hyundai i10,₹1.85 Lakh,Aug 2010,"65,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
871,Maruti Suzuki Alto 800,₹2.70 Lakh,2020,"37,000 Kms",First Owner,Petrol,Manual,,796 cc,47.33 bhp,22.05 kmpl,3.0,,5 Seats,755 kg,,35 Litres,,
872,Nissan Micra,₹3.43 Lakh,Apr 2016,"65,751 Kms",First Owner,Petrol,Automatic,FWD,1198 cc,75.94 bhp,19.15 kmpl,3.0,No,5 Seats,1100 kg,154 mm,41 Litres,,
873,Hyundai Verna,₹5.35 Lakh,Sept 2016,"63,000 Kms",First Owner,Diesel,Manual,FWD,1582 cc,126.2 bhp,23.9 kmpl,4.0,Yes,5 Seats,1230 kg,165 mm,,43 Litres,
874,Maruti Suzuki Baleno,₹5.40 Lakh,Feb 2021,"54,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,21.01 kmpl,4.0,No,5 Seats,865-890 kg,170 mm,37 Litres,,
875,Ford Ecosport,₹4.99 Lakh,Oct 2018,"42,000 Kms",First Owner,,Automatic,FWD,1497 cc,121.36 bhp,14.8 kmpl,3.0,No,5 Seats,1320 kg,200 mm,52 Litres,,
876,Hyundai Creta,₹7.96 Lakh,Feb 2019,"91,383 Kms",Second Owner,,Automatic,FWD,1591 cc,121.3 bhp,13 kmpl,4.0,No,5 Seats,1280 kg,190 mm,55 Litres,,
877,Nissan Magnite,₹8.22 Lakh,Sept 2023,"19,259 Kms",First Owner,,Automatic,FWD,999 cc,98.63 bhp,17.4 kmpl,,,5 Seats,,,,,
878,Hyundai Verna,₹8.85 Lakh,Jan 2018,"80,000 Kms",First Owner,Diesel,Automatic,FWD,1582 cc,126.2 bhp,22 kmpl,4.0,Yes,5 Seats,1285 kg,165 mm,,45 Litres,
879,Hyundai Creta,₹7.99 Lakh,Apr 2019,"81,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.7 bhp,22.1 kmpl,4.0,No,5 Seats,1200 kg,,,55 Litres,
880,Honda Brio,₹3.16 Lakh,Jul 2015,"43,723 Kms",Second Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,19.4 kmpl,4.0,No,5 Seats,925 kg,165 mm,35 Litres,,
881,Nissan Magnite,₹8.22 Lakh,Sept 2023,"19,259 Kms",First Owner,,Automatic,FWD,999 cc,98.63 bhp,17.4 kmpl,3.0,Yes,5 Seats,,205 mm,40 Litres,,
882,Hyundai Santro,₹3.93 Lakh,Jul 2019,"72,843 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,20.3 kmpl,4.0,No,5 Seats,990 kg,,35 Litres,,
883,2.4 GX 8Str,₹12.78 Lakh,Nov 2018,"1,06,885 Kms",First Owner,Diesel,Manual,RWD,2393 cc,147.51 bhp,,4.0,yes,8 Seats,,,,55 Litres,
884,Hyundai Verna,₹10.50 Lakh,Jul 2023,"48,000 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,113.18 bhp,19.6 kmpl,4.0,No,5 Seats,,,45 Litres,,
885,Mercedes-Benz A-Class Limousine,₹35.90 Lakh,2023,"20,000 Kms",Second Owner,Petrol,Automatic,,1332 cc,160.92 bhp,,4.0,Yes,5 Seats,1395 kg,,66 Litres,,
886,Tata Nexon,₹7.83 Lakh,Aug 2022,"31,595 Kms",First Owner,Petrol,Manual,,1199 cc,118.35 bhp,17.33 kmpl,3.0,Yes,5 Seats,,209 mm,44 Litres,,
887,Hyundai Verna,₹8.94 Lakh,Apr 2023,"73,023 Kms",Second Owner,Petrol,Manual,FWD,1482 cc,157.57 bhp,20 kmpl,4.0,Yes,5 Seats,,,45 Litres,,
888,Toyota Innova,₹8.85 Lakh,Mar 2016,"90,000 Kms",First Owner,Diesel,Manual,RWD,2494 cc,100.6 bhp,,4.0,Yes,7 Seats,1675 kg,176 mm,,55 Litres,
889,Renault KWID,₹2.98 Lakh,Dec 2021,"1,01,069 Kms",First Owner,Petrol,Manual,FWD,999 cc,67 bhp,21.74 kmpl,3.0,No,5 Seats,730 kg,184 mm,28 Litres,,
890,Hyundai i10,₹1.94 Lakh,May 2015,"61,054 Kms",Second Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
891,Maruti Suzuki Alto 800,₹1.81 Lakh,Apr 2013,"1,01,502 Kms",First Owner,Petrol,Manual,FWD,796 cc,46.3 bhp,19.7 kmpl,3.0,No,5 Seats,705 kg,160 mm,35 Litres,,
892,Honda City,₹2.80 Lakh,Feb 2011,"46,680 Kms",First Owner,Petrol,Manual,FWD,1497 cc,,17 kmpl,4.0,No,5 Seats,1100 kg,160 mm,42 Litres,,
893,Hyundai Creta,₹12.61 Lakh,Jun 2022,"69,000 Kms",First Owner,Diesel,Manual,,1493 cc,113.98 bhp,,4.0,Yes,5 Seats,1430 kg,,,50 Litres,
894,Honda City,₹14.80 Lakh,Jan 2023,"9,684 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,,16.4 kmpl,4.0,No,5 Seats,1085 kg,160 mm,,,
895,Honda Amaze,₹4.93 Lakh,Jan 2018,"67,173 Kms",First Owner,Petrol,Automatic,FWD,1199 cc,88.7 bhp,18.1 kmpl,4.0,No,5 Seats,985 kg,165 mm,35 Litres,,
896,Renault Duster,₹3.98 Lakh,Aug 2021,"80,165 Kms",Second Owner,Petrol,Manual,FWD,1498 cc,104.55 bhp,16.42 kmpl,4.0,No,5 Seats,1315 kg,,50 Litres,,
897,Mahindra XUV300,₹5.30 Lakh,Apr 2019,"1,34,003 Kms",First Owner,,Manual,FWD,1197 cc,110 bhp,17 kmpl,3.0,Yes,5 Seats,1435 kg,180 mm,42 Litres,,
898,Honda City,₹3.20 Lakh,Oct 2014,"40,310 Kms",First Owner,Petrol,Automatic,FWD,1497 cc,117.3 bhp,18 kmpl,4.0,No,5 Seats,1065 kg,165 mm,40 Litres,,
899,Honda City,₹3.50 Lakh,Nov 2014,"12,000 Kms",First Owner,Petrol,Manual,,1497 cc,117.60 bhp,17.4 kmpl,4.0,,5 Seats,1063 kg,,40 Litres,,
900,Maruti Suzuki Wagon R,₹3.40 Lakh,May 2017,"78,000 Kms",First Owner,CNG,Manual,FWD,998 cc,58.16 bhp,26.6 km/kg,3.0,No,5 Seats,960 kg,165 mm,,,7 Litres
901,Skoda Rapid,₹4.90 Lakh,Dec 2014,"85,000 Kms",First Owner,Diesel,Automatic,FWD,1498 cc,103.52 bhp,21.66 kmpl,4.0,Yes,5 Seats,1182 kg,168 mm,,55 Litres,
902,Tata Altroz,₹4.99 Lakh,Jul 2021,"75,000 Kms",First Owner,Diesel,Manual,,1497 cc,88.77 bhp,23.64 kmpl,4.0,Yes,5 Seats,1187 kg,165 mm,,37 Litres,
903,Tata Harrier,₹15.90 Lakh,Mar 2022,"38,653 Kms",First Owner,Diesel,Automatic,,1956 cc,167.67 bhp,14.6 kmpl,4.0,Yes,5 Seats,1675 kg,,,50 Litres,
904,Hyundai Venue,₹7.20 Lakh,Dec 2021,"99,350 Kms",First Owner,Petrol,Automatic,FWD,998 cc,118 bhp,18.31 kmpl,3.0,Yes,5 Seats,,,,,
905,Tata Tiago,₹6.08 Lakh,May 2023,"41,417 Kms",First Owner,CNG,Manual,FWD,1199 cc,74.46 bhp,26.49 km/kg,3.0,,5 Seats,,168 mm,,,60 Litres
906,Tata Punch,₹7.14 Lakh,Jul 2022,"20,994 Kms",First Owner,Petrol,Automatic,,1199 cc,86.63 bhp,18.8 kmpl,3.0,,5 Seats,1130 kg,,37 Litres,,
907,Hyundai Verna,₹8.65 Lakh,Sept 2017,"69,000 Kms",First Owner,Diesel,Automatic,FWD,1582 cc,126.2 bhp,22 kmpl,4.0,Yes,5 Seats,1285 kg,165 mm,,45 Litres,
908,Kia Sonet,₹8.90 Lakh,Nov 2020,"76,000 Kms",Second Owner,Diesel,Automatic,FWD,1493 cc,113.43 bhp,,4.0,Yes,5 Seats,kerb weight kg,,,45 Litres,
909,Hyundai Verna,₹11.81 Lakh,Apr 2022,"42,152 Kms",First Owner,Petrol,Automatic,,998 cc,118.41 bhp,19.2 kmpl,3.0,Yes,5 Seats,1260 kg,,45 Litres,,
910,Toyota Fortuner,₹34.50 Lakh,Jan 2024,"22,000 Kms",First Owner,Diesel,Manual,2WD,2755 cc,201.15 bhp,14 kmpl,4.0,Yes,7 Seats,,,,80 Litres,
911,Mercedes-Benz A-Class Limousine,₹33 Lakh,2023,"20,000 Kms",First Owner,Petrol,Automatic,,1332 cc,160.92 bhp,,4.0,Yes,5 Seats,1395 kg,,66 Litres,,
912,Tata Nexon,₹7.80 Lakh,Apr 2023,"12,748 Kms",First Owner,Petrol,Manual,,1199 cc,118.35 bhp,17.33 kmpl,3.0,Yes,5 Seats,1230 kg,209 mm,44 Litres,,
913,Maruti Suzuki Baleno,₹5.35 Lakh,Feb 2020,"54,939 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,27.39 kmpl,4.0,Yes,5 Seats,960-985 kg,170 mm,,37 Litres,
914,Maruti Suzuki Baleno,₹5.28 Lakh,Jun 2021,"43,524 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,27.39 kmpl,4.0,Yes,5 Seats,960-985 kg,170 mm,,37 Litres,
